alg	cnt	n	e	k	m	pf	band	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	10000	100	0.01	6	0	0.01	1.018	0.2025	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	6	0	0.01	1.018	0.1996	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	6	0	0.4	1.018	0.2214	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	6	0	0.4	1.018	0.2252	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	6	0	0.8	1.018	0.2340	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	6	0	0.8	1.018	0.2296	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	6	0	1.0	1.018	0.2245	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	6	0	1.0	1.018	0.2329	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	7	0	0.01	1.018	0.1799	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	7	0	0.01	1.018	0.1796	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	7	0	0.4	1.018	0.2009	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	7	0	0.4	1.018	0.1981	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	7	0	0.8	1.018	0.2099	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	7	0	0.8	1.018	0.2175	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	7	0	1.0	1.018	0.1978	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	7	0	1.0	1.018	0.2176	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	8	0	0.01	1.018	0.1680	0:00:00	0.00	1.31	0.05	0.05	0.00	0.00	0.00	0.00
pa	10000	100	0.01	8	0	0.01	1.018	0.1741	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	8	0	0.4	1.018	0.1854	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	8	0	0.4	1.018	0.1971	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	8	0	0.8	1.018	0.1875	0:00:00	2.78	7.10	0.45	0.59	0.00	0.00	0.00	0.00
