alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	1000	100	0.01	0.0132	0:00:00	6.88	18.08	1.03	1.41	0.00	0.00	0.00	0.01
edlib	1000	100	0.01	0.1374	0:00:00	-	-	-	-	-	-	0.00	0
wfa	1000	100	0.01	0.1281	0:00:00	-	-	-	-	-	-	0.00	0
pa	1000	100	0.05	0.0207	0:00:00	2.79	7.10	0.45	0.82	0.00	0.00	0.00	0.00
edlib	1000	100	0.05	0.1313	0:00:00	-	-	-	-	-	-	0.00	0
wfa	1000	100	0.05	0.1232	0:00:00	-	-	-	-	-	-	0.00	0
pa	1000	100	0.2	0.0923	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	1000	100	0.2	0.1165	0:00:00	-	-	-	-	-	-	0.00	0
wfa	1000	100	0.2	0.1164	0:00:00	-	-	-	-	-	-	0.00	0
pa	333	300	0.01	0.0242	0:00:00	2.77	7.10	0.45	0.61	0.00	0.00	0.00	0.00
edlib	333	300	0.01	0.1260	0:00:00	-	-	-	-	-	-	0.00	0
wfa	333	300	0.01	0.1313	0:00:00	-	-	-	-	-	-	0.00	0
pa	333	300	0.05	0.0346	0:00:00	3.51	12.52	0.57	0.78	0.00	0.00	0.00	0.00
edlib	333	300	0.05	0.1205	0:00:00	-	-	-	-	-	-	0.00	0
wfa	333	300	0.05	0.1202	0:00:00	-	-	-	-	-	-	0.00	0
pa	333	300	0.2	0.0711	0:00:00	2.83	7.10	0.45	0.83	0.00	0.00	0.00	0.00
edlib	333	300	0.2	0.1254	0:00:00	-	-	-	-	-	-	0.00	0
wfa	333	300	0.2	0.0880	0:00:00	-	-	-	-	-	-	0.00	0
pa	100	1000	0.01	0.0315	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	100	1000	0.01	0.1279	0:00:00	-	-	-	-	-	-	0.00	0
wfa	100	1000	0.01	0.1327	0:00:00	-	-	-	-	-	-	0.00	0
pa	100	1000	0.05	0.0325	0:00:00	-	-	-	-	-	-	0.00	0
edlib	100	1000	0.05	0.1245	0:00:00	-	-	-	-	-	-	0.00	0
wfa	100	1000	0.05	0.1286	0:00:00	-	-	-	-	-	-	0.00	0
pa	100	1000	0.2	0.0772	0:00:00	2.89	7.10	0.45	0.75	0.00	0.00	0.00	0.00
edlib	100	1000	0.2	0.1323	0:00:00	-	-	-	-	-	-	0.00	0
wfa	100	1000	0.2	0.1333	0:00:00	-	-	-	-	-	-	0.00	0
pa	33	3000	0.01	0.0460	0:00:00	2.84	7.10	0.45	0.58	0.00	0.00	0.00	0.00
edlib	33	3000	0.01	0.0697	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	33	3000	0.01	0.0143	0:00:00	2.84	7.10	0.04	0.39	0.00	0.00	0.00	0.00
pa	33	3000	0.05	0.0190	0:00:00	2.84	7.10	0.45	0.75	0.00	0.00	0.00	0.00
edlib	33	3000	0.05	0.0740	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	33	3000	0.05	0.0230	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	33	3000	0.2	0.0811	0:00:00	2.88	7.10	0.45	0.74	0.00	0.00	0.00	0.00
edlib	33	3000	0.2	0.0653	0:00:00	2.90	7.10	0.44	0.60	0.00	0.00	0.00	0.00
wfa	33	3000	0.2	0.0579	0:00:00	2.82	7.10	0.45	0.59	0.00	0.00	0.00	0.00
pa	10	10000	0.01	0.0132	0:00:00	2.74	7.10	0.45	0.84	0.00	0.00	0.00	0.00
edlib	10	10000	0.01	0.1346	0:00:00	-	-	-	-	-	-	0.00	0
wfa	10	10000	0.01	0.1367	0:00:00	-	-	-	-	-	-	0.00	0
pa	10	10000	0.05	0.0454	0:00:00	2.96	7.10	0.45	0.58	0.00	0.00	0.00	0.00
edlib	10	10000	0.05	0.1485	0:00:00	-	-	-	-	-	-	0.00	0
wfa	10	10000	0.05	0.1457	0:00:00	-	-	-	-	-	-	0.00	0
pa	10	10000	0.2	0.1756	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	10	10000	0.2	0.1394	0:00:00	-	-	-	-	-	-	0.00	0
wfa	10	10000	0.2	0.1641	0:00:00	2.89	7.10	0.45	0.63	0.00	0.00	0.00	0.00
pa	3	30000	0.01	0.0307	0:00:00	2.83	7.10	0.45	0.60	0.00	0.00	0.00	0.00
edlib	3	30000	0.01	0.0917	0:00:00	2.90	7.10	0.45	0.61	0.00	0.00	0.00	0.00
wfa	3	30000	0.01	0.0136	0:00:00	-	-	-	-	-	-	0.00	0
pa	3	30000	0.05	0.0430	0:00:00	2.88	7.10	0.45	0.60	0.00	0.00	0.00	0.00
edlib	3	30000	0.05	0.1321	0:00:00	2.81	7.10	0.45	0.60	0.00	0.00	0.00	0.00
wfa	3	30000	0.05	0.0617	0:00:00	2.95	7.10	0.45	0.62	0.00	0.00	0.00	0.00
pa	3	30000	0.2	0.1275	0:00:00	2.73	7.10	0.45	0.75	0.00	0.00	0.00	0.00
edlib	3	30000	0.2	0.2437	0:00:00	2.74	7.10	0.04	0.41	0.00	0.00	0.00	0.00
wfa	3	30000	0.2	0.5111	0:00:00	2.84	7.10	0.05	0.39	0.00	0.00	0.00	0.00
pa	1	100000	0.01	0.0354	0:00:00	2.80	7.10	0.45	0.59	0.00	0.00	0.00	0.00
edlib	1	100000	0.01	0.1273	0:00:00	2.84	7.10	0.45	0.62	0.00	0.00	0.00	0.00
wfa	1	100000	0.01	0.0920	0:00:00	-	-	-	-	-	-	0.00	0
pa	1	100000	0.05	0.0637	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	1	100000	0.05	0.2848	0:00:00	2.84	7.10	0.45	0.61	0.00	0.00	0.00	0.00
wfa	1	100000	0.05	0.2350	0:00:00	2.89	7.10	0.45	0.61	0.00	0.00	0.00	0.00
pa	1	100000	0.2	0.5401	0:00:00	3.66	17.94	0.52	0.77	0.00	0.00	0.00	0.00
edlib	1	100000	0.2	0.5394	0:00:00	7.54	18.79	1.23	1.52	0.00	0.00	0.00	0.07
wfa	1	100000	0.2	2.0062	0:00:02	2698.97	2756.78	2694.82	2695.18	0.00	0.00	56.04	1.71
pa	0	300000	0.01	0.0063	0:00:00	-	-	-	-	-	-	0.00	0
edlib	0	300000	0.01	0.0156	0:00:00	-	-	-	-	-	-	0.00	0
wfa	0	300000	0.01	0.0606	0:00:00	-	-	-	-	-	-	0.00	0
pa	0	300000	0.05	0.0133	0:00:00	-	-	-	-	-	-	0.00	0
edlib	0	300000	0.05	0.0094	0:00:00	-	-	-	-	-	-	0.00	0
wfa	0	300000	0.05	0.0623	0:00:00	-	-	-	-	-	-	0.00	0
pa	0	300000	0.2	0.0062	0:00:00	-	-	-	-	-	-	0.00	0
edlib	0	300000	0.2	0.0174	0:00:00	2.83	7.10	0.36	0.48	0.00	0.00	0.00	0.00
wfa	0	300000	0.2	0.0425	0:00:00	-	-	-	-	-	-	0.00	0
pa	0	1000000	0.01	0.0063	0:00:00	-	-	-	-	-	-	0.00	0
edlib	0	1000000	0.01	0.1003	0:00:00	-	-	-	-	-	-	0.00	0
