alg	cnt	n	e	m	k	pf	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	nr	|a|	|b|	r	H	k	md	pr	bf	dist	seeds	matches	expanded	explored	dbl	ret	band	precom	align	prune	dist	h(0,0)	m_pat	m_exp
pa	1000000	100	0.05	0	15	1.0	8.2317	0:00:08	267.24	279.70	261.85	262.49	0.00	0.00	92.33	7.99	1000000	100	99	0.00	GapSeed	15	0	1		Gap	6	3	108	120	0	0	1.21	0.00	0.01	0.00	4	3		
pa	333333	300	0.05	0	15	1.0	8.2941	0:00:08	225.83	244.93	220.57	221.21	0.00	0.00	91.52	7.98	333333	300	299	0.00	GapSeed	15	0	1		Gap	20	10	339	386	1	10	1.29	0.00	0.02	0.00	13	10		
pa	100000	1000	0.05	0	15	1.0	9.8498	0:00:09	205.80	217.23	200.23	200.88	0.00	0.00	92.39	9.49	100000	1000	999	0.00	GapSeed	15	0	1		Gap	66	34	1194	1382	4	165	1.38	0.02	0.08	0.01	44	34		
pa	33333	3000	0.05	0	15	1.0	10.5453	0:00:10	201.46	213.17	196.13	196.78	0.00	0.00	91.05	9.99	33333	3000	2999	0.00	GapSeed	15	0	1		Gap	200	104	3682	4278	15	960	1.43	0.05	0.26	0.02	132	101		
pa	10000	10000	0.05	0	15	1.0	9.9315	0:00:09	201.00	211.55	195.61	196.28	0.00	0.00	91.52	9.48	10000	10000	9999	0.00	GapSeed	15	0	1		Gap	666	349	12446	14489	54	5073	1.45	0.12	0.83	0.07	441	336		
pa	3333	30000	0.05	0	15	1.0	10.6670	0:00:10	203.96	214.25	198.54	199.20	0.00	0.00	94.78	10.50	3333	30000	29999	0.00	GapSeed	15	0	1		Gap	2000	1050	37519	43704	165	20284	1.46	0.38	2.72	0.20	1322	1008		
pa	1000	100000	0.05	0	15	1.0	15.6895	0:00:15	215.10	227.45	209.82	210.48	0.00	0.00	93.52	15.07	1000	100000	100001	0.00	GapSeed	15	0	1		Gap	6666	3502	125201	145869	550	85835	1.46	2.27	12.84	0.92	4407	3359		
pa	333	300000	0.05	0	15	1.0	20.4522	0:00:20	258.54	273.28	253.46	254.10	0.00	0.00	71.63	15.04	333	300000	299998	0.00	GapSeed	15	0	1		Gap	20000	10511	375765	437791	1663	306532	1.46	10.37	48.14	2.96	13222	10079		
pa	100	1000000	0.05	0	15	1.0	26.0026	0:00:26	390.72	415.86	386.58	387.20	0.00	0.00	56.46	15.06	100	1000000	999994	0.00	GapSeed	15	0	1		Gap	66666	35095	1252767	1459663	5537	1202044	1.46	47.79	202.83	11.35	44066	33581		
pa	33	3000000	0.05	0	15	1.0	30.6038	0:00:30	909.93	939.01	908.39	909.06	0.00	0.00	47.90	15.06	33	3000000	3000020	0.00	GapSeed	15	0	1		Gap	200000	105627	3760023	4381202	16490	4097702	1.46	134.12	764.09	39.58	132229	100781		
pa	10	10000000	0.05	0	15	1.0	41.4503	0:00:41	3332.66	3433.93	3345.80	3346.45	0.00	0.00	35.54	15.11	10	10000000	10000183	0.00	GapSeed	15	0	1		Gap	666666	356448	12532688	14602092	55450	15425606	1.46	718.04	3320.95	174.00	440688	335950		
pa	3	30000000	0.05	0	15	1.0	47.4718	0:00:47	12070.68	12205.08	12093.13	12093.78	0.00	0.00	94.50	45.24	3	30000000	29999637	0.00	GapSeed	15	0	1		Gap	2000000	1106084	37551570	43748268	165863	51048184	1.46	2961.91	12454.27	607.31	1321987	1008060		
pa	1	100000000	0.05	0	15	1.0	63.6309	0:01:03	39678.15	39980.53	39672.86	39673.51	0.00	0.00	71.38	45.82	1	100000000	100001113	0.00	GapSeed	15	0	1		Gap	6666666	4122753	125259125	145932782	552327	188158860	1.46	10198.00	51576.81	2392.68	4407370	3359788		
