alg	cnt	n	e	m	k	pf	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	nr	|a|	|b|	r	H	k	md	pr	bf	dist	seeds	matches	expanded	explored	dbl	ret	band	precom	align	prune	dist		m_pat	m_exp
pa	10000	100	0.01	0	6	0.4	0.5409	0:00:00	9.89	20.92	3.59	4.27	0.00	0.00	0.00	0.26	10000	100	100	0.00	GapSeed	6	0	1		Gap	16	15	101	102	0	0	1.02	0.01	0.02	0.00	1	1		
pa	10000	100	0.01	0	6	0.8	0.5872	0:00:00	9.83	20.92	3.58	4.29	0.00	0.00	0.00	0.23	10000	100	100	0.00	GapSeed	6	0	1		Gap	16	15	101	102	0	0	1.02	0.01	0.02	0.01	1	1		
pa	10000	100	0.01	0	6	1.0	0.5462	0:00:00	9.87	20.92	3.53	4.20	0.00	0.00	0.00	0.26	10000	100	100	0.00	GapSeed	6	0	1		Gap	16	15	101	102	0	0	1.02	0.01	0.02	0.00	1	1		
pa	10000	100	0.01	0	7	0.4	0.5260	0:00:00	9.83	20.92	3.54	4.26	0.00	0.00	0.00	0.25	10000	100	100	0.00	GapSeed	7	0	1		Gap	14	13	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	7	0.8	0.5355	0:00:00	10.00	20.92	3.55	4.32	0.00	0.00	0.00	0.23	10000	100	100	0.00	GapSeed	7	0	1		Gap	14	13	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	7	1.0	0.4920	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	7	0	1		Gap	14	13	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	8	0.4	0.4523	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	8	0	1		Gap	12	11	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	8	0.8	0.4824	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	8	0	1		Gap	12	11	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	8	1.0	0.5161	0:00:00	2.88	7.10	0.45	0.76	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	8	0	1		Gap	12	11	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	9	0.4	0.5122	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	9	0	1		Gap	11	10	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	9	0.8	0.4800	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	9	0	1		Gap	11	10	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	9	1.0	0.4514	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	9	0	1		Gap	11	10	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	10	0.4	0.4439	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	10	0	1		Gap	10	9	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	10	0.8	0.4612	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	10	0	1		Gap	10	9	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	10	1.0	0.4692	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	10	0	1		Gap	10	9	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	11	0.4	0.4540	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	11	0	1		Gap	9	8	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	11	0.8	0.4323	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	11	0	1		Gap	9	8	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	11	1.0	0.4226	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	11	0	1		Gap	9	8	101	102	0	0	1.02	0.01	0.01	0.00	1	1		
pa	10000	100	0.01	0	15	0.4	0.4372	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	15	0	1		Gap	6	5	101	102	0	0	1.02	0.00	0.01	0.00	1	1		
pa	10000	100	0.01	0	15	0.8	0.3911	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	15	0	1		Gap	6	5	101	102	0	0	1.02	0.00	0.01	0.00	1	1		
pa	10000	100	0.01	0	15	1.0	0.3859	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	15	0	1		Gap	6	5	101	102	0	0	1.02	0.00	0.01	0.00	1	1		
