alg	cnt	n	e	m	k	pf	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	nr	|a|	|b|	r	H	k	md	pr	bf	ed	seeds	matches	f-match	expanded	explored	dbl	ret	prunes	shift	band	precom	align	prune	dist	h0	DM fr
pa	1000000	100	0.01	0	6	1.0	20.5334	0:00:20	266.40	279.58	260.29	261.63	0.00	0.00	75.15	15.90	1000000	100	99	0.00	GapSeed	6	0	1		Gap	16	15	15	101	102	0	0	15	13	1.02	0.01	0.01	0.00	1	1	0.141
pa	1000000	100	0.01	0	8	1.0	16.6383	0:00:16	265.97	279.47	260.77	262.13	0.00	0.00	92.75	15.92	1000000	100	99	0.00	GapSeed	8	0	1		Gap	12	11	11	101	102	0	0	11	9	1.02	0.01	0.01	0.00	1	1	0.141
pa	1000000	100	0.01	0	10	1.0	15.7016	0:00:15	265.91	279.47	260.71	261.97	0.00	0.00	94.84	15.37	1000000	100	99	0.00	GapSeed	10	0	1		Gap	10	9	9	101	102	0	0	9	7	1.02	0.01	0.01	0.00	1	1	0.141
pa	1000000	100	0.01	0	12	1.0	13.2356	0:00:13	266.18	279.47	260.73	261.95	0.00	0.00	92.40	12.72	1000000	100	99	0.00	GapSeed	12	0	1		Gap	8	7	7	101	102	0	0	7	5	1.02	0.00	0.01	0.00	1	1	0.141
pa	1000000	100	0.01	0	14	1.0	12.6027	0:00:12	266.05	279.47	260.76	262.00	0.00	0.00	92.20	12.11	1000000	100	99	0.00	GapSeed	14	0	1		Gap	7	6	6	101	102	0	0	6	4	1.02	0.00	0.01	0.00	1	1	0.141
pa	1000000	100	0.01	0	17	1.0	11.0710	0:00:11	265.79	279.47	260.68	261.96	0.00	0.00	91.13	10.58	1000000	100	99	0.00	GapSeed	17	0	1		Gap	5	4	4	101	102	0	0	4	3	1.02	0.00	0.01	0.00	1	1	0.141
pa	1000000	100	0.01	0	20	1.0	10.7092	0:00:10	265.93	279.47	260.33	261.67	0.00	0.00	94.49	10.59	1000000	100	99	0.00	GapSeed	20	0	1		Gap	5	4	4	101	102	0	0	4	2	1.02	0.00	0.01	0.00	1	1	0.141
pa	1000000	100	0.01	0	25	1.0	9.5848	0:00:09	266.28	279.47	260.22	261.59	0.00	0.00	88.46	8.97	1000000	100	99	0.00	GapSeed	25	0	1		Gap	4	3	3	101	102	0	0	3	2	1.02	0.00	0.01	0.00	1	1	0.141
pa	1000000	100	0.01	0	31	1.0	9.1287	0:00:09	266.09	279.47	260.67	261.94	0.00	0.00	93.23	9.00	1000000	100	99	0.00	GapSeed	31	0	1		Gap	3	2	2	101	102	0	0	2	1	1.02	0.00	0.01	0.00	1	1	0.141
pa	1000000	100	0.05	0	6	1.0	23.2389	0:00:23	266.14	279.59	260.37	261.61	0.00	0.00	65.10	15.61	1000000	100	100	0.00	GapSeed	6	0	1		Gap	16	12	12	103	113	0	0	12	7	1.13	0.01	0.01	0.00	4	4	0.091
pa	1000000	100	0.05	0	8	1.0	20.0394	0:00:20	266.47	279.59	260.40	261.47	0.00	0.00	76.98	15.93	1000000	100	100	0.00	GapSeed	8	0	1		Gap	12	8	8	104	114	0	0	8	4	1.15	0.01	0.01	0.00	4	4	0.091
pa	1000000	100	0.05	0	10	1.0	17.0968	0:00:17	266.54	279.59	260.43	261.40	0.00	0.00	88.38	15.59	1000000	100	100	0.00	GapSeed	10	0	1		Gap	10	6	6	105	115	0	0	6	2	1.16	0.00	0.01	0.00	4	4	0.090
