alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	h0end
cp-csh+gap	synthetic	100	10000	0.01	0	7	0.2161	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	7	0	1	0	Gap	1428	1476	1467	10041	10232	99	0	0	1343	1093	1.02	0.94	1.02	0.58	91	89	1413
cp-csh	synthetic	100	10000	0.01	0	7	0.8649	0:00:00	8.27	18.93	1.69	2.32	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	GapSeed	7	0	1	0	Zero	1428	2215	2215	10163	10489	99	0	0	1343	779	1.05	1.40	6.90	6.36	91	81	1375
cp-sh	synthetic	100	10000	0.01	0	7	0.0958	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	7	0	1	0	Zero	803	760	760	10229	10585	100	0	513	731	0	1.06	0.37	0.42	0.00	91	43	775
cp-csh+gap	synthetic	100	10000	0.01	0	8	0.1747	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	8	0	1	0	Gap	1250	1195	1193	10043	10235	99	0	0	1165	997	1.02	0.82	0.72	0.27	91	89	1242
cp-csh	synthetic	100	10000	0.01	0	8	0.2232	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	8	0	1	0	Zero	1250	1360	1360	10167	10496	99	0	0	1165	988	1.05	0.77	1.25	0.74	91	82	1225
cp-sh	synthetic	100	10000	0.01	0	8	0.0888	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	8	0	1	0	Zero	1083	1015	1015	10189	10532	99	0	342	1000	0	1.05	0.32	0.39	0.00	91	68	1068
cp-csh+gap	synthetic	100	10000	0.01	0	9	0.1449	0:00:00	2.92	7.38	0.46	0.67	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	9	0	1	0	Gap	1111	1036	1035	10045	10239	99	0	0	1026	877	1.02	0.69	0.65	0.22	91	88	1105
cp-csh	synthetic	100	10000	0.01	0	9	0.1501	0:00:00	2.84	7.38	0.46	0.67	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	9	0	1	0	Zero	1111	1072	1072	10173	10505	99	0	0	1026	970	1.05	0.64	0.74	0.26	91	82	1099
cp-sh	synthetic	100	10000	0.01	0	9	0.0843	0:00:00	0.01	1.34	0.03	0.03	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	9	0	1	0	Zero	1072	995	995	10188	10532	99	0	311	988	0	1.05	0.29	0.38	0.00	91	77	1066
cp-csh+gap	synthetic	100	10000	0.01	0	10	0.1403	0:00:00	3.17	7.38	0.46	0.69	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	10	0	1	0	Gap	1000	920	920	10045	10240	99	0	0	915	772	1.02	0.67	0.62	0.19	91	88	996
