alg	cnt	n	e	m	k	pf	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	nr	|a|	|b|	r	H	k	md	pr	bf	dist-func	seeds	matches	f-match	expanded	explored	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	dm-fr
pa	100000	100	0.01	0	6	1.0	2.2213	0:00:02	32.53	45.27	26.75	27.21	0.00	0.00	70.65	2.04	100000	100	100	0.00	GapSeed	6	0	1		Gap	16	15	15	101	102	0	0	15	13	1.02	0.01	0.01	0.00	1	1	0.141
pa	100000	100	0.01	0	8	1.0	1.8719	0:00:01	32.60	45.27	26.75	27.18	0.00	0.00	54.48	1.50	100000	100	100	0.00	GapSeed	8	0	1		Gap	12	11	11	101	102	0	0	11	9	1.02	0.01	0.01	0.00	1	1	0.141
pa	100000	100	0.01	0	10	1.0	1.7126	0:00:01	32.60	45.27	26.73	27.15	0.00	0.00	60.16	1.49	100000	100	100	0.00	GapSeed	10	0	1		Gap	10	9	9	101	102	0	0	9	7	1.02	0.01	0.01	0.00	1	1	0.141
pa	100000	100	0.01	0	12	1.0	1.4787	0:00:01	32.68	45.27	26.73	27.19	0.00	0.00	35.50	1.00	100000	100	100	0.00	GapSeed	12	0	1		Gap	8	7	7	101	102	0	0	7	5	1.02	0.00	0.01	0.00	1	1	0.141
pa	100000	100	0.01	0	14	1.0	1.3906	0:00:01	32.46	45.27	26.71	27.15	0.00	0.00	35.24	0.98	100000	100	100	0.00	GapSeed	14	0	1		Gap	7	6	6	101	102	0	0	6	4	1.02	0.00	0.01	0.00	1	1	0.141
pa	100000	100	0.01	0	17	1.0	1.2284	0:00:01	32.45	45.27	26.73	27.16	0.00	0.00	41.53	0.99	100000	100	100	0.00	GapSeed	17	0	1		Gap	5	4	4	101	102	0	0	4	3	1.02	0.00	0.01	0.00	1	1	0.141
pa	100000	100	0.01	0	20	1.0	1.1939	0:00:01	32.60	45.27	26.71	27.16	0.00	0.00	43.55	1.01	100000	100	100	0.00	GapSeed	20	0	1		Gap	5	4	4	101	102	0	0	4	2	1.02	0.00	0.01	0.00	1	1	0.141
pa	100000	100	0.01	0	25	1.0	1.1188	0:00:01	32.33	45.27	26.73	27.18	19.46	0.00	42.01	1.02	100000	100	100	0.00	GapSeed	25	0	1		Gap	4	3	3	101	102	0	0	3	2	1.02	0.00	0.01	0.00	1	1	0.141
pa	100000	100	0.01	0	31	1.0	0.9698	0:00:00	32.74	45.27	26.74	27.17	0.00	0.00	0.00	0.49	100000	100	100	0.00	GapSeed	31	0	1		Gap	3	2	2	101	102	0	0	2	1	1.02	0.00	0.01	0.00	1	1	0.141
pa	100000	100	0.05	0	6	1.0	2.4348	0:00:02	32.60	45.27	26.82	27.25	0.00	0.00	63.30	2.03	100000	100	99	0.00	GapSeed	6	0	1		Gap	16	12	12	103	113	0	0	12	7	1.13	0.01	0.02	0.00	4	4	0.091
pa	100000	100	0.05	0	8	1.0	2.0609	0:00:02	32.38	45.27	26.81	27.30	0.00	0.00	49.48	1.50	100000	100	99	0.00	GapSeed	8	0	1		Gap	12	8	8	104	114	0	0	8	4	1.15	0.01	0.01	0.00	4	4	0.091
pa	100000	100	0.05	0	10	1.0	1.8632	0:00:01	32.72	45.27	26.82	27.36	0.00	0.00	56.48	1.54	100000	100	99	0.00	GapSeed	10	0	1		Gap	10	6	6	105	115	0	0	6	2	1.16	0.00	0.01	0.00	4	4	0.090
pa	100000	100	0.05	0	12	1.0	1.7374	0:00:01	32.47	45.27	26.80	27.22	0.00	0.00	58.12	1.50	100000	100	99	0.00	GapSeed	12	0	1		Gap	8	4	4	106	117	0	0	4	1	1.18	0.00	0.01	0.00	4	4	0.089
pa	100000	100	0.05	0	14	1.0	1.6708	0:00:01	32.67	45.27	26.82	27.26	0.00	0.00	61.08	1.50	100000	100	99	0.00	GapSeed	14	0	1		Gap	7	3	3	107	119	0	0	3	1	1.19	0.00	0.01	0.00	4	4	0.088
pa	100000	100	0.05	0	17	1.0	1.5869	0:00:01	32.49	45.27	26.80	27.24	19.46	0.00	63.71	1.49	100000	100	99	0.00	GapSeed	17	0	1		Gap	5	2	1	109	123	0	0	1	0	1.24	0.00	0.01	0.00	4	3	0.086
pa	100000	100	0.05	0	20	1.0	1.5233	0:00:01	32.68	45.27	26.80	27.24	0.00	0.00	34.40	1.02	100000	100	99	0.00	GapSeed	20	0	1		Gap	5	1	1	109	123	0	0	1	0	1.24	0.00	0.01	0.00	4	3	0.086
pa	100000	100	0.1	0	6	1.0	2.8070	0:00:02	32.63	45.40	26.89	27.32	0.00	0.00	74.03	2.57	100000	100	100	0.00	GapSeed	6	0	1		Gap	16	10	9	113	137	0	0	9	3	1.37	0.01	0.02	0.00	9	7	0.081
pa	100000	100	0.1	0	8	1.0	2.6346	0:00:02	32.49	45.40	26.95	27.38	0.00	0.00	77.85	2.55	100000	100	100	0.00	GapSeed	8	0	1		Gap	12	6	5	121	149	0	2	5	1	1.50	0.00	0.02	0.00	9	7	0.081
pa	100000	100	0.1	0	10	1.0	2.6994	0:00:02	32.68	45.40	26.92	27.35	0.00	0.00	75.94	2.54	100000	100	100	0.00	GapSeed	10	0	1		Gap	10	4	4	130	163	0	2	3	0	1.64	0.00	0.02	0.00	9	6	0.081
pa	100000	100	0.1	1	7	1.0	7.6663	0:00:07	32.68	45.41	26.95	27.39	0.00	0.00	86.48	7.12	100000	100	100	0.00	GapSeed	7	1	1		Gap	14	51	46	107	127	0	0	12	0	1.28	0.04	0.03	0.01	9	8	0.082
pa	100000	100	0.1	1	8	1.0	6.6691	0:00:06	32.57	45.40	26.95	27.39	0.00	0.00	84.56	6.14	100000	100	100	0.00	GapSeed	8	1	1		Gap	12	38	35	109	130	0	0	10	0	1.30	0.04	0.03	0.01	9	8	0.082
pa	100000	100	0.1	1	9	1.0	6.1550	0:00:06	32.48	45.40	26.93	27.35	0.00	0.00	84.16	5.65	100000	100	100	0.00	GapSeed	9	1	1		Gap	11	31	30	110	131	0	0	9	0	1.32	0.03	0.02	0.01	9	8	0.082
pa	100000	100	0.1	1	10	1.0	5.5581	0:00:05	32.64	45.40	26.94	27.38	0.00	0.00	82.94	5.10	100000	100	100	0.00	GapSeed	10	1	1		Gap	10	26	25	111	134	0	0	7	0	1.34	0.03	0.02	0.01	9	8	0.082
