alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	h0end
pa_manual	synthetic	10	100000	0.1	1	14	2.0120	0:00:02	27.43	38.20	20.84	21.31	0.00	0.00	52.90	1.59	ok	10	100000	99990	0.00	GapSeed	14	1	1	0	Gap	7142	14773	14541	154872	189817	11997	352	63930	8978	454	1.90	112.82	85.40	14.94	8478	7465	13748
pa_manual_zero	synthetic	10	100000	0.1	1	14	1.9911	0:00:01	27.80	38.62	21.32	21.73	0.00	0.00	53.76	1.56	ok	10	100000	99990	0.00	GapSeed	14	1	1	0	Gap	7142	14773	14773	182940	228738	12989	709	14943	8974	1651	2.29	109.38	85.15	16.27	8478	7206	13723
pa_manual_unordered	synthetic	10	100000	0.1	1	14	2.9093	0:00:02	24.48	35.28	17.98	18.38	0.00	0.00	72.74	2.62	ok	10	100000	99990	0.00	Unordered	14	1	1	0	Zero	6989	4895	4895	250307	306763	16623	924	470543	4712	0	3.07	75.90	211.46	0.00	8478	4188	13614
pa_manual	synthetic	10	100000	0.1	1	15	2.1193	0:00:02	26.86	37.87	20.57	21.05	0.00	0.00	55.24	1.63	ok	10	100000	99990	0.00	GapSeed	15	1	1	0	Gap	6666	12600	12546	173353	211624	13030	437	98371	7825	354	2.12	110.14	97.57	12.68	8478	7353	12873
pa_manual_zero	synthetic	10	100000	0.1	1	15	2.1841	0:00:02	27.79	38.52	21.21	21.68	0.00	0.00	47.35	1.59	ok	10	100000	99990	0.00	GapSeed	15	1	1	0	Gap	6666	12600	12600	201432	249763	14113	787	21593	7822	1457	2.50	108.60	104.78	15.00	8478	7132	12853
pa_manual_unordered	synthetic	10	100000	0.1	1	15	3.1739	0:00:03	23.96	34.95	17.64	18.08	0.00	0.00	68.66	2.76	ok	10	100000	99990	0.00	Unordered	15	1	1	0	Zero	6629	4387	4387	260976	318871	17255	991	491742	4262	0	3.19	75.11	238.52	0.00	8478	4483	13009
pa_manual	synthetic	10	100000	0.1	1	16	2.5478	0:00:02	26.91	37.58	20.34	20.76	0.00	0.00	61.78	2.05	ok	10	100000	99990	0.00	GapSeed	16	1	1	0	Gap	6250	10884	10872	197955	240112	14363	545	140500	6848	267	2.40	112.88	137.19	14.25	8478	7238	12108
pa_manual_zero	synthetic	10	100000	0.1	1	16	2.0989	0:00:02	27.03	38.21	20.89	21.35	0.00	0.00	49.74	1.53	ok	10	100000	99990	0.00	GapSeed	16	1	1	0	Gap	6250	10884	10884	226341	277891	15433	911	32235	6847	1260	2.78	102.41	103.15	12.29	8478	7039	12092
pa_manual_unordered	synthetic	10	100000	0.1	1	16	3.1260	0:00:03	24.21	34.95	17.64	18.06	0.00	0.00	68.29	2.67	ok	10	100000	99990	0.00	Unordered	16	1	1	0	Zero	6241	3926	3926	291382	352532	18498	1134	558861	3818	0	3.53	74.39	234.21	0.00	8478	4631	12267
pa_manual	synthetic	10	100000	0.1	1	17	2.4574	0:00:02	26.80	37.60	20.31	21.29	0.00	0.00	68.88	2.26	ok	10	100000	99990	0.00	GapSeed	17	1	1	0	Gap	5882	9513	9509	233850	280978	16115	681	197799	6039	203	2.81	94.16	145.68	11.66	8478	7108	11428
pa_manual_zero	synthetic	10	100000	0.1	1	17	2.3143	0:00:02	26.50	37.56	20.25	20.67	0.00	0.00	45.70	1.69	ok	10	100000	99990	0.00	GapSeed	17	1	1	0	Gap	5882	9513	9513	262731	318454	17196	1097	52963	6037	1089	3.18	100.36	124.80	12.61	8478	6923	11414
pa_manual_unordered	synthetic	10	100000	0.1	1	17	3.3722	0:00:03	24.19	35.38	19.36	19.85	0.00	0.00	81.11	3.26	ok	10	100000	99990	0.00	Unordered	17	1	1	0	Zero	5880	3520	3520	332391	397647	21069	1342	659885	3421	0	3.98	70.02	262.44	0.00	8478	4720	11562
pa_manual	synthetic	10	100000	0.1	1	18	2.9930	0:00:02	26.60	37.66	20.34	20.85	0.00	0.00	57.11	2.30	ok	10	100000	99990	0.00	GapSeed	18	1	1	0	Gap	5555	8298	8297	286059	339438	18853	900	276140	5316	159	3.39	98.14	198.84	11.13	8478	6987	10823
pa_manual_zero	synthetic	10	100000	0.1	1	18	2.5819	0:00:02	27.02	38.09	20.79	21.23	0.00	0.00	57.96	2.02	ok	10	100000	99990	0.00	GapSeed	18	1	1	0	Gap	5555	8298	8298	313345	374045	19913	1293	94489	5314	931	3.74	98.80	155.69	10.47	8478	6828	10812
pa_manual_unordered	synthetic	10	100000	0.1	1	18	4.6018	0:00:04	24.56	35.30	17.98	18.46	0.00	0.00	76.83	4.16	ok	10	100000	99990	0.00	Unordered	18	1	1	0	Zero	5554	3146	3146	390327	460566	23751	1593	793972	3062	0	4.61	83.35	373.48	0.00	8478	4816	10941
pa_manual	synthetic	3	300000	0.1	1	14	2.6586	0:00:02	53.34	63.92	46.73	47.16	0.00	0.00	59.78	2.11	ok	3	300000	300015	0.00	GapSeed	14	1	1	0	Gap	21428	45715	43693	463437	567786	116574	1045	226666	26972	1346	1.89	564.08	305.93	49.56	25406	22375	41290
pa_manual_zero	synthetic	3	300000	0.1	1	14	2.6944	0:00:02	53.27	63.82	46.64	47.04	0.00	0.00	59.76	2.15	ok	3	300000	300015	0.00	GapSeed	14	1	1	0	Gap	21428	45715	45715	545464	682306	126271	2098	52075	26954	4592	2.27	582.01	310.14	62.13	25406	21648	41215
pa_manual_unordered	synthetic	3	300000	0.1	1	14	4.5438	0:00:04	44.83	55.77	38.45	38.86	0.00	0.00	67.92	3.61	ok	3	300000	300015	0.00	Unordered	14	1	1	0	Zero	20075	14132	14132	884156	1065810	181880	3184	2015826	13278	0	3.55	427.13	1049.69	0.00	25406	11887	38443
pa_manual	synthetic	3	300000	0.1	1	15	2.8604	0:00:02	45.81	60.01	39.12	39.60	0.00	0.00	59.66	2.30	ok	3	300000	300015	0.00	GapSeed	15	1	1	0	Gap	20000	38290	37771	514990	629071	125050	1231	350122	23538	1053	2.10	567.24	366.16	42.12	25406	22021	38622
pa_manual_zero	synthetic	3	300000	0.1	1	15	2.7935	0:00:02	51.55	62.16	45.01	45.41	0.00	0.00	73.04	2.55	ok	3	300000	300015	0.00	GapSeed	15	1	1	0	Gap	20000	38290	38290	599254	743604	135468	2248	68078	23530	4278	2.48	562.40	347.12	50.28	25406	21357	38566
pa_manual_unordered	synthetic	3	300000	0.1	1	15	3.8689	0:00:03	44.91	55.56	38.27	38.69	0.00	0.00	77.39	3.57	ok	3	300000	300015	0.00	Unordered	15	1	1	0	Zero	19653	13062	13062	821309	998116	170737	3044	1830217	12583	0	3.33	399.27	873.59	0.00	25406	13181	38347
pa_manual	synthetic	3	300000	0.1	1	16	2.8953	0:00:02	50.49	61.00	43.80	44.22	0.00	0.00	79.02	2.83	ok	3	300000	300015	0.00	GapSeed	16	1	1	0	Gap	18750	32841	32704	583943	709582	136737	1566	497856	20619	794	2.37	529.05	422.75	36.68	25406	21672	36339
pa_manual_zero	synthetic	3	300000	0.1	1	16	2.8183	0:00:02	72.41	84.72	66.07	66.49	0.00	0.00	64.71	2.44	ok	3	300000	300015	0.00	GapSeed	16	1	1	0	Gap	18750	32841	32841	669481	823258	147370	2718	100237	20600	3777	2.74	568.56	356.53	35.93	25406	21079	36293
pa_manual_unordered	synthetic	3	300000	0.1	1	16	4.1106	0:00:04	63.34	74.19	56.89	57.30	0.00	0.00	77.61	3.69	ok	3	300000	300015	0.00	Unordered	16	1	1	0	Zero	18669	11769	11769	877831	1061743	182558	3443	1993257	11420	0	3.54	403.03	953.56	0.00	25406	13801	36642
pa_manual	synthetic	3	300000	0.1	1	17	3.4963	0:00:03	50.30	60.93	43.72	44.15	0.00	0.00	68.65	2.85	ok	3	300000	300015	0.00	GapSeed	17	1	1	0	Gap	17647	28677	28646	697266	838314	156075	2017	710168	18165	606	2.79	554.83	592.43	39.66	25406	21260	34265
pa_manual_zero	synthetic	3	300000	0.1	1	17	2.9483	0:00:02	50.18	63.04	43.60	44.01	0.00	0.00	69.58	2.52	ok	3	300000	300015	0.00	GapSeed	17	1	1	0	Gap	17647	28677	28677	782626	948986	167027	3141	169756	18165	3252	3.16	556.57	407.17	32.37	25406	20721	34226
pa_manual_unordered	synthetic	3	300000	0.1	1	17	4.8789	0:00:04	63.73	74.56	57.25	57.66	0.00	0.00	70.02	3.91	ok	3	300000	300015	0.00	Unordered	17	1	1	0	Zero	17629	10598	10598	998776	1193746	202444	3926	2334352	10295	0	3.98	439.56	1170.29	0.00	25406	14062	34653
pa_manual	synthetic	3	300000	0.1	1	18	3.8730	0:00:03	71.04	83.05	64.65	65.05	0.00	0.00	81.11	3.62	ok	3	300000	300015	0.00	GapSeed	18	1	1	0	Gap	16666	24944	24939	857474	1017258	181184	2667	989295	16012	472	3.39	527.89	747.19	33.50	25406	20941	32472
pa_manual_zero	synthetic	3	300000	0.1	1	18	3.4627	0:00:03	48.99	71.30	42.41	42.87	0.00	0.00	76.36	3.12	ok	3	300000	300015	0.00	GapSeed	18	1	1	0	Gap	16666	24944	24944	938827	1120404	191360	3781	300843	16008	2823	3.73	541.93	590.71	35.83	25406	20463	32446
pa_manual_unordered	synthetic	3	300000	0.1	1	18	5.3398	0:00:05	63.97	74.73	57.43	57.83	0.00	0.00	78.16	4.68	ok	3	300000	300015	0.00	Unordered	18	1	1	0	Zero	16663	9457	9457	1167798	1378015	227188	4709	2832847	9210	0	4.59	383.97	1375.89	0.00	25406	14411	32831
pa_manual	synthetic	1	1000000	0.1	1	14	3.3945	0:00:03	145.59	158.68	139.07	139.49	0.00	0.00	77.43	3.11	ok	1	1000000	999918	0.00	GapSeed	14	1	1	0	Gap	71428	170318	147836	1532897	1882824	1168025	3415	860234	89460	4356	1.88	2171.67	1177.70	215.10	84911	75022	137623
pa_manual_zero	synthetic	1	1000000	0.1	1	14	3.7758	0:00:03	145.29	158.68	139.11	139.50	0.00	0.00	68.98	3.12	ok	1	1000000	999918	0.00	GapSeed	14	1	1	0	Gap	71428	170318	170318	1809566	2267354	1268912	6954	303027	89403	11642	2.27	2274.40	1442.28	433.51	84911	72469	137374
pa_manual_unordered	synthetic	1	1000000	0.1	1	14	16.3661	0:00:16	210.25	304.54	203.62	204.05	0.00	0.00	92.70	15.62	ok	1	1000000	999918	0.00	Unordered	14	1	1	0	Zero	57360	41270	41270	7635203	8569670	3924728	32842	24242511	35417	0	8.57	1538.25	14780.78	0.00	84911	32180	103014
pa_manual	synthetic	1	1000000	0.1	1	15	3.6815	0:00:03	144.82	156.07	138.52	138.92	0.00	0.00	73.13	3.22	ok	1	1000000	999918	0.00	GapSeed	15	1	1	0	Gap	66666	131138	125378	1709199	2091113	1256682	3975	1333979	77868	3487	2.09	2162.81	1474.36	165.58	84911	73853	128795
pa_manual_zero	synthetic	1	1000000	0.1	1	15	3.4863	0:00:03	144.80	156.07	138.47	138.88	0.00	0.00	75.25	3.11	ok	1	1000000	999918	0.00	GapSeed	15	1	1	0	Gap	66666	131138	131138	1986223	2468804	1358972	7347	265099	77863	13001	2.47	2122.41	1310.70	211.73	84911	71567	128650
pa_manual_unordered	synthetic	1	1000000	0.1	1	15	6.9117	0:00:06	122.61	135.38	115.97	116.39	0.00	0.00	82.70	6.26	ok	1	1000000	999918	0.00	Unordered	15	1	1	0	Zero	63055	42214	42214	3301519	3945638	2016087	11968	9071229	39412	0	3.95	1557.81	5311.33	0.00	84911	41682	120506
pa_manual	synthetic	1	1000000	0.1	1	16	3.8481	0:00:03	144.98	155.97	138.54	138.93	0.00	0.00	73.81	3.35	ok	1	1000000	999918	0.00	GapSeed	16	1	1	0	Gap	62500	110017	108562	1951771	2374540	1382772	5121	1923654	68303	2695	2.37	2007.99	1785.10	131.50	84911	72548	121039
pa_manual_zero	synthetic	1	1000000	0.1	1	16	3.3387	0:00:03	145.30	158.47	138.93	139.34	0.00	0.00	69.74	2.94	ok	1	1000000	999918	0.00	GapSeed	16	1	1	0	Gap	62500	110017	110017	2233494	2748274	1487245	8829	335571	68288	12181	2.75	2001.41	1306.68	141.10	84911	70579	120907
pa_manual_unordered	synthetic	1	1000000	0.1	1	16	5.9926	0:00:05	79.32	92.52	72.89	73.32	0.00	0.00	80.33	5.31	ok	1	1000000	999918	0.00	Unordered	16	1	1	0	Zero	61625	38757	38757	3049876	3677530	1896924	11635	8221352	37277	0	3.68	1487.79	4458.89	0.00	84911	45736	120290
pa_manual	synthetic	1	1000000	0.1	1	17	4.2786	0:00:04	144.68	155.89	138.34	138.74	0.00	0.00	80.49	3.97	ok	1	1000000	999918	0.00	GapSeed	17	1	1	0	Gap	58823	94886	94457	2297819	2769885	1559305	6458	2721744	59991	2075	2.77	2010.43	2238.33	125.98	84911	71276	114217
pa_manual_zero	synthetic	1	1000000	0.1	1	17	3.6911	0:00:03	144.33	155.89	137.76	138.16	0.00	0.00	70.20	3.09	ok	1	1000000	999918	0.00	GapSeed	17	1	1	0	Gap	58823	94886	94886	2582237	3138853	1666531	10247	565699	60000	10681	3.14	2088.20	1552.35	133.38	84911	69519	114115
pa_manual_unordered	synthetic	1	1000000	0.1	1	17	7.0627	0:00:07	122.11	135.32	115.66	116.09	0.00	0.00	83.13	6.36	ok	1	1000000	999918	0.00	Unordered	17	1	1	0	Zero	58580	34963	34963	3374118	4034055	2060292	13099	9304161	33851	0	4.03	1558.80	5460.25	0.00	84911	47234	114936
pa_manual	synthetic	1	1000000	0.1	1	18	5.1976	0:00:05	144.15	155.81	137.72	138.12	0.00	0.00	79.56	4.59	ok	1	1000000	999918	0.00	GapSeed	18	1	1	0	Gap	55555	82738	82645	2800103	3332620	1809426	8609	3836092	53082	1618	3.33	1980.63	3160.99	144.02	84911	70038	108302
pa_manual_zero	synthetic	1	1000000	0.1	1	18	4.0770	0:00:04	144.08	155.81	137.48	137.91	0.00	0.00	75.84	3.59	ok	1	1000000	999918	0.00	GapSeed	18	1	1	0	Gap	55555	82738	82738	3080059	3687748	1916573	12657	1040602	53071	9345	3.69	1987.36	2040.37	139.32	84911	68446	108187
pa_manual_unordered	synthetic	1	1000000	0.1	1	18	7.8661	0:00:07	128.43	148.01	122.18	122.61	0.00	0.00	87.39	7.42	ok	1	1000000	999918	0.00	Unordered	18	1	1	0	Zero	55502	31353	31353	3893940	4600067	2316927	15648	11174076	30483	0	4.60	1426.14	6402.13	0.00	84911	48298	109264
