alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
sh	synthetic	100000	100	0.05			2.1631	0:00:02	9.34	20.98	4.38	4.97	0.00	0.00	70.74	2.02	ok	100000	100	99	0.00	SH	15	0	1	0	Zero	6	3	3	157	173	133	0	2	2	0	1.73	0.02	0.05	0.00	0.01	0.00	0.01	4	3	6
csh	synthetic	100000	100	0.05			2.2070	0:00:02	10.04	20.98	4.44	5.04	0.00	0.00	69.34	2.02	ok	100000	100	99	0.00	GapSeed	15	0	1	0	Zero	6	3	3	153	168	130	0	0	2	2	1.69	0.02	0.05	0.00	0.01	0.00	0.01	4	3	6
sh	synthetic	33333	300	0.05			2.1783	0:00:02	9.87	20.98	4.48	5.08	0.00	0.00	70.23	2.02	ok	33333	300	299	0.00	SH	15	0	1	0	Zero	20	10	10	505	556	427	0	24	10	0	1.85	0.06	0.09	0.01	0.04	0.00	0.02	13	10	20
csh	synthetic	33333	300	0.05			2.2569	0:00:02	9.86	20.98	4.41	5.03	0.00	0.00	67.78	2.01	ok	33333	300	299	0.00	GapSeed	15	0	1	0	Zero	20	10	10	492	542	417	0	1	10	9	1.81	0.07	0.09	0.01	0.04	0.00	0.01	13	10	20
sh	synthetic	10000	1000	0.05			2.4205	0:00:02	9.94	20.98	4.70	5.32	16.48	0.00	62.81	2.01	ok	10000	1000	999	0.00	SH	15	0	1	0	Zero	66	34	34	1835	2022	1528	1	250	33	0	2.02	0.24	0.17	0.04	0.14	0.00	0.05	44	31	65
csh	synthetic	10000	1000	0.05			2.3978	0:00:02	9.73	20.98	4.62	5.24	0.00	0.00	63.41	2.01	ok	10000	1000	999	0.00	GapSeed	15	0	1	0	Zero	66	34	34	1790	1971	1493	1	11	33	30	1.97	0.23	0.17	0.04	0.15	0.01	0.05	44	32	65
sh	synthetic	3333	3000	0.05			2.5897	0:00:02	10.00	21.30	4.88	5.50	19.09	0.00	78.41	2.51	ok	3333	3000	3000	0.00	SH	15	0	1	0	Zero	199	104	104	5714	6295	4727	5	1323	102	0	2.10	0.76	0.30	0.13	0.48	0.00	0.15	132	95	198
csh	synthetic	3333	3000	0.05			2.4853	0:00:02	9.99	21.33	4.86	5.47	0.00	0.00	61.18	2.01	ok	3333	3000	3000	0.00	GapSeed	15	0	1	0	Zero	200	104	104	5575	6139	4619	6	52	102	92	2.05	0.73	0.30	0.12	0.46	0.03	0.15	132	96	198
sh	synthetic	1000	10000	0.05			2.6906	0:00:02	10.36	21.67	5.20	5.78	0.00	0.00	75.82	2.53	ok	1000	10000	10000	0.00	SH	15	0	1	0	Zero	665	349	349	19336	21293	15948	20	6702	342	0	2.13	2.65	0.64	0.41	1.80	0.00	0.44	441	316	658
csh	synthetic	1000	10000	0.05			2.3515	0:00:02	10.72	21.57	5.20	5.82	0.00	0.00	65.08	2.02	ok	1000	10000	10000	0.00	GapSeed	15	0	1	0	Zero	666	349	349	18852	20755	15576	20	213	342	307	2.08	2.31	0.57	0.35	1.53	0.10	0.43	441	318	659
sh	synthetic	333	30000	0.05			3.0096	0:00:03	12.48	23.82	8.78	9.79	16.61	0.00	67.45	2.52	ok	333	30000	30000	0.00	SH	15	0	1	0	Zero	1999	1049	1049	58644	64569	48257	61	26441	1026	0	2.15	8.92	1.10	1.37	6.26	0.00	1.29	1323	950	1977
csh	synthetic	333	30000	0.05			2.5578	0:00:02	11.76	23.23	8.04	9.06	0.00	0.00	59.84	2.02	ok	333	30000	30000	0.00	GapSeed	15	0	1	0	Zero	2000	1049	1049	57130	62890	47100	63	651	1028	921	2.10	7.49	0.93	0.95	5.16	0.30	1.38	1323	956	1979
sh	synthetic	100	100000	0.05			3.6766	0:00:03	18.86	29.88	14.86	15.89	19.08	0.00	83.24	3.54	ok	100	100000	100002	0.00	SH	15	0	1	0	Zero	6665	3499	3499	195188	214919	160658	206	110788	3424	0	2.15	36.25	2.81	4.67	23.88	0.00	7.70	4409	3166	6591
csh	synthetic	100	100000	0.05			2.8241	0:00:02	15.63	26.66	11.77	12.77	0.00	0.00	71.89	2.52	ok	100	100000	100002	0.00	GapSeed	15	0	1	0	Zero	6666	3499	3499	190335	209526	156931	213	2233	3428	3072	2.10	27.81	2.77	4.41	16.30	1.20	7.09	4409	3187	6596
dijkstra	synthetic	1000	100	0.05			0.0430	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	100	0.00	Zero	0	0	0	0		0	0	0	393	418	351	0	0	0	0	4.18	0.02	0.01	0.00	0.01	0.00	0.01	4	0	0
sh-noprune	synthetic	1000	100	0.05			0.1039	0:00:00	3.93	12.89	0.48	0.86	0.00	0.00	0.00	0.00	ok	1000	100	100	0.00	SH	15	0	0	0	Zero	6	3	3	175	193	147	0	0	0	0	1.93	0.04	0.53	0.00	0.04	0.00	0.01	4	3	3
csh-noprune	synthetic	1000	100	0.05			0.0424	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	100	0.00	GapSeed	15	0	0	0	Zero	6	3	3	173	190	145	0	0	0	0	1.91	0.02	0.00	0.00	0.01	0.00	0.01	4	3	3
dijkstra	synthetic	333	300	0.05			0.0843	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	299	0.00	Zero	0	0	0	0		0	0	0	3829	3983	3109	0	0	0	0	13.28	0.18	0.04	0.00	0.17	0.00	0.02	13	0	0
sh-noprune	synthetic	333	300	0.05			0.1139	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	299	0.00	SH	15	0	0	0	Zero	20	10	10	772	850	610	0	0	0	0	2.83	0.16	1.03	0.01	0.14	0.00	0.01	13	10	10
csh-noprune	synthetic	333	300	0.05			0.0491	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	299	0.00	GapSeed	15	0	0	0	Zero	20	10	10	751	827	596	0	0	0	0	2.76	0.09	0.02	0.01	0.06	0.00	0.01	13	10	10
dijkstra	synthetic	100	1000	0.05			0.4302	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	1000	0.00	Zero	0	0	0	0		0	0	0	55228	56289	37224	0	0	0	0	56.24	3.92	0.51	0.00	3.87	0.00	0.06	44	0	0
sh-noprune	synthetic	100	1000	0.05			0.2472	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	1000	0.00	SH	15	0	0	0	Zero	66	34	34	8159	8745	5388	10	0	0	0	8.74	1.88	3.44	0.16	1.66	0.00	0.06	44	32	32
csh-noprune	synthetic	100	1000	0.05			0.1154	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	1000	0.00	GapSeed	15	0	0	0	Zero	66	34	34	7943	8525	5272	14	0	0	0	8.52	0.95	0.31	0.04	0.86	0.00	0.05	44	32	32
dijkstra	synthetic	33	3000	0.05			2.3641	0:00:02	26.27	37.85	21.33	22.04	0.00	0.00	65.15	2.02	ok	33	3000	3000	0.00	Zero	0	0	0	0		0	0	0	577436	581596	330323	0	0	0	0	193.85	70.78	6.41	0.00	70.47	0.00	0.31	132	0	0
sh-noprune	synthetic	33	3000	0.05			0.5247	0:00:00	15.12	26.14	9.76	10.18	0.19	0.00	0.00	0.49	ok	33	3000	3000	0.00	SH	15	0	0	0	Zero	200	104	104	104666	108367	57909	166	0	0	0	36.12	15.24	3.58	0.09	14.95	0.00	0.20	132	95	95
csh-noprune	synthetic	33	3000	0.05			0.5384	0:00:00	12.41	23.59	8.50	9.53	0.19	0.00	0.00	0.49	ok	33	3000	3000	0.00	GapSeed	15	0	0	0	Zero	200	104	104	100811	104602	56040	235	0	0	0	34.87	15.66	4.50	0.12	15.35	0.00	0.19	132	96	96
dijkstra	synthetic	10	10000	0.05			14.7782	0:00:14	112.46	123.61	107.08	107.59	0.19	0.00	94.06	14.39	ok	10	10000	10007	0.00	Zero	0	0	0	0		0	0	0	6674321	6689116	3498185	0	0	0	0	668.41	1475.15	94.18	0.00	1473.48	0.00	1.67	443	0	0
sh-noprune	synthetic	10	10000	0.05			6.7506	0:00:06	54.54	105.22	47.45	48.72	0.00	0.00	41.94	3.06	ok	10	10000	10007	0.00	SH	15	0	0	0	Zero	666	349	349	1624393	1648876	809869	2666	0	0	0	164.76	669.60	62.63	0.24	668.12	0.00	1.24	443	316	316
csh-noprune	synthetic	10	10000	0.05			3.2697	0:00:03	52.34	63.84	48.60	49.59	0.19	0.00	78.60	3.05	ok	10	10000	10007	0.00	GapSeed	15	0	0	0	Zero	666	349	349	1583680	1610402	790819	3880	0	0	0	160.92	324.53	28.15	0.35	322.09	0.00	2.09	443	317	317
dijkstra	synthetic	3	30000	0.05			57.6101	0:00:57	711.59	841.56	557.84	558.60	0.00	0.00	78.18	45.52	ok	3	30000	30009	0.00	Zero	0	0	0	0		0	0	0	58517076	58561873	29750770	0	0	0	0	1951.43	19194.62	67.51	0.00	19187.19	0.00	7.43	1314	0	0
sh-noprune	synthetic	3	30000	0.05			15.2006	0:00:15	390.32	535.44	385.07	385.50	0.17	0.00	91.43	14.38	ok	3	30000	30009	0.00	SH	15	0	0	0	Zero	2000	1057	1057	16068506	16211758	7740315	26045	0	0	0	540.22	5056.83	213.96	0.75	5050.68	0.00	5.40	1314	943	943
csh-noprune	synthetic	3	30000	0.05			15.3710	0:00:15	389.86	569.05	385.95	387.00	0.17	0.00	93.24	14.82	ok	3	30000	30009	0.00	GapSeed	15	0	0	0	Zero	2000	1057	1057	15454092	15615022	7450249	37255	0	0	0	520.33	5112.07	170.18	1.07	5105.63	0.00	5.38	1314	950	950
dijkstra	synthetic	1	100000	0.05			299.8682	0:04:59	8753.51	8766.18	8748.03	8748.55	0.19	0.00	95.22	286.06	ok	1	100000	99968	0.00	Zero	0	0	0	0		0	0	0	664339451	664489342	333868181	0	0	0	0	6644.89	299839.94	0.00	0.00	299806.12	0.00	33.82	4392	0	0
sh-noprune	synthetic	1	100000	0.05			107.9835	0:01:47	2737.92	4075.33	2732.71	2733.13	0.00	0.00	67.45	73.04	ok	1	100000	99968	0.00	SH	15	0	0	0	Zero	6666	3510	3510	184989973	186227475	88042823	291272	0	0	0	1862.27	107941.73	0.00	3.83	107906.59	0.00	31.31	4392	3156	3156
csh-noprune	synthetic	1	100000	0.05			74.3890	0:01:14	3049.35	4074.29	3047.59	3048.61	0.19	0.00	60.27	45.33	ok	1	100000	99968	0.00	GapSeed	15	0	0	0	Zero	6666	3510	3510	177815444	179245518	84659453	421930	0	0	0	1792.46	74355.66	0.00	4.98	74327.70	0.00	22.98	4392	3186	3186
