alg	cnt	n	e	r	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
dijkstra	10	10000	0.01			0.3955	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10000	0.00	Zero	0	0	0	0		0	0	0	992806	999375	783660	0	0	0	0	99.93	38.20	4.16	0.00	37.63	0.00	0.57	90	0	0
dijkstra	10	10000	0.02			2.1791	0:00:02	65.93	89.19	58.80	60.15	0.00	0.00	70.18	2.01	ok	10	10000	9998	0.00	Zero	0	0	0	0		0	0	0	2579283	2592242	1601655	0	0	0	0	259.22	216.55	16.67	0.00	215.83	0.00	0.72	181	0	0
dijkstra	10	10000	0.04			6.5541	0:00:06	111.77	122.95	104.60	105.94	0.00	0.00	85.92	6.11	ok	10	10000	10003	0.00	Zero	0	0	0	0		0	0	0	5367906	5382603	2873139	0	0	0	0	538.05	654.04	27.89	0.00	653.05	0.00	0.99	358	0	0
dijkstra	10	10000	0.06			9.7058	0:00:09	111.70	123.02	104.58	105.90	0.00	0.00	89.44	9.17	ok	10	10000	9998	0.00	Zero	0	0	0	0		0	0	0	7763911	7778739	4019436	0	0	0	0	777.87	969.19	56.51	0.00	968.17	0.00	1.03	518	0	0
dijkstra	10	10000	0.08			13.2746	0:00:13	180.11	259.39	172.89	173.98	0.00	0.00	92.28	12.74	ok	10	10000	9993	0.00	Zero	0	0	0	0		0	0	0	10323222	10338183	5268042	0	0	0	0	1033.82	1326.09	65.73	0.00	1325.03	0.00	1.06	694	0	0
dijkstra	10	10000	0.1			17.6732	0:00:17	247.72	259.07	240.59	241.95	0.00	0.00	84.08	15.35	ok	10	10000	9998	0.00	Zero	0	0	0	0		0	0	0	12705925	12720916	6430262	0	0	0	0	1272.09	1765.95	48.54	0.00	1764.80	0.00	1.15	849	0	0
dijkstra	10	10000	0.12			22.9292	0:00:22	281.70	463.00	272.59	273.92	0.00	0.00	64.64	15.30	ok	10	10000	10009	0.00	Zero	0	0	0	0		0	0	0	15209006	15223979	7677117	0	0	0	0	1520.89	2291.54	62.25	0.00	2290.41	0.00	1.12	1001	0	0
dijkstra	10	10000	0.14			27.1386	0:00:27	411.52	462.93	404.39	405.71	0.00	0.00	54.61	15.31	ok	10	10000	10005	0.00	Zero	0	0	0	0		0	0	0	17497970	17513047	8815920	0	0	0	0	1750.36	2712.50	80.85	0.00	2711.33	0.00	1.17	1150	0	0
dijkstra	10	10000	0.16			29.0370	0:00:29	316.11	327.33	308.98	310.32	0.00	0.00	50.97	15.28	ok	10	10000	10003	0.00	Zero	0	0	0	0		0	0	0	19513632	19528738	9807532	0	0	0	0	1952.27	2902.32	161.34	0.00	2901.16	0.00	1.15	1290	0	0
dijkstra	10	10000	0.18			33.2579	0:00:33	316.18	463.39	309.01	310.01	0.00	0.00	44.35	15.23	ok	10	10000	9986	0.00	Zero	0	0	0	0		0	0	0	21562624	21577730	10832173	0	0	0	0	2157.77	3324.47	71.53	0.00	3323.27	0.00	1.20	1433	0	0
dijkstra	10	10000	0.2			36.6581	0:00:36	315.68	327.02	308.58	309.94	0.00	0.00	40.51	15.34	ok	10	10000	9996	0.00	Zero	0	0	0	0		0	0	0	23763275	23778456	11925201	0	0	0	0	2377.85	3664.43	83.53	0.00	3663.21	0.00	1.22	1571	0	0
dijkstra	10	10000	0.22			38.2237	0:00:38	403.07	462.95	395.89	396.99	0.00	0.00	38.88	15.35	ok	10	10000	9990	0.00	Zero	0	0	0	0		0	0	0	25966774	25981925	13034210	0	0	0	0	2598.19	3821.05	109.18	0.00	3819.80	0.00	1.25	1704	0	0
dijkstra	10	10000	0.24			42.6773	0:00:42	378.04	431.43	370.83	372.22	0.00	0.00	34.73	15.31	ok	10	10000	10023	0.00	Zero	0	0	0	0		0	0	0	28029444	28044712	14067281	0	0	0	0	2797.84	4266.35	59.50	0.00	4265.05	0.00	1.30	1840	0	0
dijkstra	10	10000	0.26			46.3042	0:00:46	315.97	327.28	310.50	310.96	0.00	0.00	96.52	45.18	ok	10	10000	10000	0.00	Zero	0	0	0	0		0	0	0	29775026	29790320	14917134	0	0	0	0	2978.82	4629.03	147.36	0.00	4627.75	0.00	1.28	1950	0	0
dijkstra	10	10000	0.28			53.2978	0:00:53	591.69	870.95	584.44	585.82	0.00	0.00	84.01	45.25	ok	10	10000	10015	0.00	Zero	0	0	0	0		0	0	0	31732087	31747459	15892595	0	0	0	0	3169.90	5328.38	65.95	0.00	5327.12	0.00	1.26	2070	0	0
dijkstra	10	10000	0.3			55.9074	0:00:55	588.07	599.39	580.88	582.26	0.00	0.00	80.14	45.29	ok	10	10000	10013	0.00	Zero	0	0	0	0		0	0	0	33518999	33534439	16791141	0	0	0	0	3348.99	5589.34	223.21	0.00	5588.06	0.00	1.28	2186	0	0
dijkstra	10	10000	0.32			54.5417	0:00:54	587.73	870.95	580.57	581.67	0.00	0.00	82.07	45.25	ok	10	10000	9991	0.00	Zero	0	0	0	0		0	0	0	35165053	35180430	17625393	0	0	0	0	3518.04	5452.84	113.29	0.00	5451.55	0.00	1.30	2287	0	0
dijkstra	10	10000	0.34			58.5168	0:00:58	588.19	599.37	580.91	582.01	0.00	0.00	76.45	45.22	ok	10	10000	9986	0.00	Zero	0	0	0	0		0	0	0	37093141	37108606	18583099	0	0	0	0	3710.86	5850.35	111.28	0.00	5849.06	0.00	1.29	2398	0	0
sh	10	10000	0.01	1	9	0.0235	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10000	0.00	SH	9	0	1	0	Zero	1111	1034	1034	10561	10825	9249	0	0	1027	973	1.08	1.04	0.05	0.33	0.36	0.00	0.36	90	77	1069
csh	10	10000	0.01	1	9	0.0261	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10000	0.00	CSH	9	0	1	0	Zero	1111	1071	1071	10508	10762	9208	0	0	1027	972	1.08	1.29	0.07	0.40	0.55	0.18	0.34	90	81	1100
sh	10	10000	0.02	1	9	0.0229	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	SH	9	0	1	0	Zero	1111	959	959	11210	11768	9662	2	3	948	871	1.18	0.99	0.05	0.32	0.44	0.00	0.23	181	151	1060
csh	10	10000	0.02	1	9	0.0254	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	CSH	9	0	1	0	Zero	1111	1000	1000	11117	11654	9590	2	3	948	867	1.17	1.25	0.07	0.38	0.64	0.17	0.23	181	158	1097
sh	10	10000	0.04	1	9	0.0263	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10003	0.00	SH	9	0	1	0	Zero	1111	833	833	12771	13940	10646	9	24	806	716	1.39	1.32	0.10	0.30	0.59	0.00	0.44	358	278	1057
csh	10	10000	0.04	1	9	0.0282	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10003	0.00	CSH	9	0	1	0	Zero	1111	862	862	12529	13646	10467	10	16	806	704	1.36	1.52	0.11	0.36	0.76	0.17	0.40	358	293	1092
sh	10	10000	0.06	1	9	0.0274	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	SH	9	0	1	0	Zero	1111	728	728	15335	17222	12243	20	93	700	597	1.72	1.44	0.09	0.28	0.86	0.00	0.29	518	383	1057
csh	10	10000	0.06	1	9	0.0292	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	CSH	9	0	1	0	Zero	1111	755	755	14853	16653	11913	21	93	700	583	1.67	1.62	0.07	0.34	1.01	0.16	0.27	518	402	1092
sh	10	10000	0.08	1	9	0.0340	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9993	0.00	SH	9	0	1	0	Zero	1111	627	627	21164	24178	15758	47	662	591	483	2.42	2.09	0.14	0.27	1.51	0.00	0.32	694	483	1054
csh	10	10000	0.08	1	9	0.0366	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9993	0.00	CSH	9	0	1	0	Zero	1111	649	649	19855	22689	14941	45	634	591	467	2.27	2.27	0.12	0.31	1.57	0.15	0.40	694	507	1088
sh	10	10000	0.1	1	9	0.0488	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	SH	9	0	1	0	Zero	1111	555	555	35106	39912	23811	106	3057	514	396	3.99	3.56	0.68	0.26	2.91	0.00	0.39	849	556	1052
csh	10	10000	0.1	1	9	0.0470	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	CSH	9	0	1	0	Zero	1111	574	574	30121	34459	20952	95	2547	513	374	3.45	3.39	0.53	0.29	2.74	0.17	0.36	849	586	1091
