alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
dijkstra	synthetic	1000	10000	0.01			20.0457	0:00:20	26.67	38.01	19.64	20.53	0.00	0.00	74.30	15.41	ok	309	10000	10000	0.00	Zero	0	0	0	0		0	0	0	988435	995065	774352	0	0	0	0	99.50	64.77	13.54	0.00	63.84	0.00	0.93	91	0	0
dijkstra	synthetic	1000	10000	0.02			20.1693	0:00:20	78.09	89.50	71.10	71.62	0.00	0.00	72.98	15.18	ok	51	10000	10001	0.00	Zero	0	0	0	0		0	0	0	2541248	2554058	1574593	0	0	0	0	255.37	394.86	52.88	0.00	393.02	0.00	1.84	180	0	0
dijkstra	synthetic	1000	10000	0.04			20.3379	0:00:20	127.66	156.87	121.93	122.46	0.00	0.00	73.06	15.35	ok	18	10000	10002	0.00	Zero	0	0	0	0		0	0	0	5340840	5355425	2866017	0	0	0	0	535.41	1128.31	63.46	0.00	1126.65	0.00	1.67	356	0	0
dijkstra	synthetic	1000	10000	0.06			21.5700	0:00:21	213.30	258.87	205.82	206.37	0.00	0.00	68.73	15.35	ok	11	10000	9995	0.00	Zero	0	0	0	0		0	0	0	7884449	7899382	4085348	0	0	0	0	789.94	1958.93	63.09	0.00	1957.09	0.00	1.84	521	0	0
dijkstra	synthetic	1000	10000	0.08			21.2188	0:00:21	179.79	191.06	172.64	173.16	0.00	0.00	71.01	15.54	ok	8	10000	9995	0.00	Zero	0	0	0	0		0	0	0	10343889	10358828	5274160	0	0	0	0	1035.88	2649.03	74.21	0.00	2647.14	0.00	1.89	684	0	0
dijkstra	synthetic	1000	10000	0.1			23.3343	0:00:23	179.94	191.02	172.59	173.12	0.00	0.00	64.15	15.47	ok	7	10000	9992	0.00	Zero	0	0	0	0		0	0	0	12717701	12732648	6436177	0	0	0	0	1273.26	3329.40	99.73	0.00	3327.42	0.00	1.98	837	0	0
dijkstra	synthetic	1000	10000	0.12			21.8449	0:00:21	379.68	462.87	372.65	373.15	0.00	0.00	67.75	15.30	ok	5	10000	9956	0.00	Zero	0	0	0	0		0	0	0	15167007	15182020	7638693	0	0	0	0	1518.20	4362.89	108.84	0.00	4360.82	0.00	2.07	1001	0	0
dijkstra	synthetic	1000	10000	0.14			20.2655	0:00:20	448.40	463.32	442.90	443.42	0.00	0.00	74.07	15.50	ok	4	10000	10007	0.00	Zero	0	0	0	0		0	0	0	17444950	17460058	8792583	0	0	0	0	1744.70	5058.82	123.88	0.00	5056.65	0.00	2.17	1157	0	0
dijkstra	synthetic	1000	10000	0.16			21.8163	0:00:21	354.89	463.13	349.66	350.17	0.00	0.00	69.72	15.70	ok	4	10000	10019	0.00	Zero	0	0	0	0		0	0	0	19526045	19541166	9799996	0	0	0	0	1950.36	5447.53	70.45	0.00	5445.42	0.00	2.10	1294	0	0
dijkstra	synthetic	1000	10000	0.18			25.3131	0:00:25	428.97	463.11	424.02	424.56	0.00	0.00	58.86	15.39	ok	4	10000	10024	0.00	Zero	0	0	0	0		0	0	0	22101963	22117062	11107458	0	0	0	0	2206.41	6320.01	137.09	0.00	6317.86	0.00	2.16	1450	0	0
