alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
dijkstra	synthetic	3	10000	0.01			0.2184	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	10000	10005	0.00	Zero	0	0	0	0		0	0	0	933402	939802	728810	0	0	0	0	93.93	58.00	4.33	0.00	57.10	0.00	0.90	91	0	0
dijkstra	synthetic	3	10000	0.02			0.9607	0:00:00	43.58	54.93	36.48	37.41	0.00	0.00	0.00	0.49	ok	3	10000	10002	0.00	Zero	0	0	0	0		0	0	0	2476464	2489063	1535221	0	0	0	0	248.85	309.08	23.66	0.00	307.74	0.00	1.34	180	0	0
dijkstra	synthetic	3	10000	0.04			2.5333	0:00:02	112.49	123.63	105.16	106.12	0.00	0.00	61.57	2.04	ok	3	10000	9978	0.00	Zero	0	0	0	0		0	0	0	5153496	5167940	2776225	0	0	0	0	516.79	836.58	38.07	0.00	835.38	0.00	1.20	348	0	0
dijkstra	synthetic	3	10000	0.06			5.2928	0:00:05	179.91	190.95	172.58	173.88	0.00	0.00	87.42	5.10	ok	3	10000	9967	0.00	Zero	0	0	0	0		0	0	0	8021359	8036308	4140750	0	0	0	0	803.63	1747.26	49.30	0.00	1745.88	0.00	1.38	529	0	0
dijkstra	synthetic	3	10000	0.08			6.5784	0:00:06	187.50	227.66	180.16	181.09	0.00	0.00	84.36	6.03	ok	3	10000	9991	0.00	Zero	0	0	0	0		0	0	0	10546308	10561348	5380096	0	0	0	0	1056.13	2184.86	74.58	0.00	2183.46	0.00	1.40	691	0	0
dijkstra	synthetic	3	10000	0.1			7.4402	0:00:07	185.20	258.95	175.91	176.84	0.00	0.00	90.72	7.26	ok	3	10000	10006	0.00	Zero	0	0	0	0		0	0	0	12585798	12600813	6381173	0	0	0	0	1259.28	2470.95	47.63	0.00	2469.53	0.00	1.41	841	0	0
dijkstra	synthetic	3	10000	0.12			8.9614	0:00:08	315.76	326.95	308.46	309.40	0.00	0.00	93.44	8.86	ok	3	10000	9984	0.00	Zero	0	0	0	0		0	0	0	15138262	15153228	7637874	0	0	0	0	1515.32	2979.30	91.36	0.00	2977.81	0.00	1.49	1015	0	0
dijkstra	synthetic	3	10000	0.14			10.9522	0:00:10	315.76	463.02	308.56	309.50	0.00	0.00	89.84	10.33	ok	3	10000	10004	0.00	Zero	0	0	0	0		0	0	0	17675986	17691124	8901074	0	0	0	0	1768.29	3642.74	97.21	0.00	3641.26	0.00	1.47	1156	0	0
dijkstra	synthetic	3	10000	0.16			12.9586	0:00:12	315.89	431.61	308.46	309.44	0.00	0.00	90.37	12.19	ok	3	10000	9986	0.00	Zero	0	0	0	0		0	0	0	19821354	19836450	9986586	0	0	0	0	1983.65	4308.26	170.64	0.00	4306.81	0.00	1.45	1294	0	0
dijkstra	synthetic	3	10000	0.18			15.0483	0:00:15	316.50	431.47	309.18	310.11	0.00	0.00	92.11	14.33	ok	3	10000	10020	0.00	Zero	0	0	0	0		0	0	0	21713602	21728764	10887159	0	0	0	0	2168.47	5008.00	120.35	0.00	5006.42	0.00	1.58	1431	0	0
