alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
cp-sh	synthetic	100000	100	0.05	0	5	2.5161	0:00:02	9.70	20.99	2.45	3.15	0.00	0.00	60.42	2.01	ok	100000	100	99	0.00	SH	5	0	1	0	Zero	18	15	15	122	136	90	0	2	14	0	1.36	0.02	0.08	0.01	0.01	0.00	0.01	4	3	18
cp-csh	synthetic	100000	100	0.05	0	5	3.4622	0:00:03	9.84	20.99	2.46	3.22	0.00	0.00	75.69	3.13	ok	100000	100	99	0.00	GapSeed	5	0	1	0	Zero	20	18	18	118	131	88	0	0	16	13	1.31	0.03	0.01	0.01	0.02	0.00	0.01	4	4	19
cp-sh	synthetic	33333	300	0.05	0	5	2.3603	0:00:02	9.93	20.99	2.52	3.06	0.00	0.00	63.99	2.00	ok	33333	300	300	0.00	SH	5	0	1	0	Zero	47	39	39	380	424	284	0	30	36	0	1.41	0.07	0.11	0.02	0.04	0.00	0.01	13	8	44
cp-csh	synthetic	33333	300	0.05	0	5	4.3100	0:00:04	9.64	20.99	2.56	3.12	0.00	0.00	80.92	3.99	ok	33333	300	300	0.00	GapSeed	5	0	1	0	Zero	60	66	66	357	395	267	0	0	48	32	1.32	0.12	0.22	0.04	0.07	0.02	0.02	13	11	54
cp-sh	synthetic	10000	1000	0.05	0	5	3.1240	0:00:03	9.70	20.99	2.70	3.41	0.00	0.00	65.32	2.53	ok	10000	1000	1000	0.00	SH	5	0	1	0	Zero	88	75	75	1841	2048	1400	1	510	61	0	2.05	0.31	0.27	0.05	0.21	0.00	0.05	44	13	74
cp-csh	synthetic	10000	1000	0.05	0	5	8.8697	0:00:08	9.65	20.99	2.66	3.49	0.00	0.00	85.46	8.11	ok	10000	1000	1000	0.00	GapSeed	5	0	1	0	Zero	200	360	360	1193	1322	893	1	8	162	61	1.32	0.87	0.50	0.21	0.59	0.44	0.07	44	36	177
cp-sh	synthetic	3333	3000	0.05	0	5	10.0448	0:00:10	31.00	42.10	23.65	24.19	0.00	0.00	91.20	9.64	ok	152	3000	2999	0.00	SH	5	0	1	0	Zero	47	42	42	417791	422783	234332	185	33015	25	0	140.93	65.90	8.89	0.13	65.50	0.00	0.27	132	5	31
cp-csh	synthetic	3333	3000	0.05	0	5	10.0355	0:00:10	10.44	21.55	3.23	3.73	0.00	0.00	91.86	9.70	ok	625	3000	3000	0.00	GapSeed	5	0	1	0	Zero	600	2254	2254	3582	3970	2684	3	278	486	71	1.32	15.89	2.39	1.38	14.38	13.79	0.13	132	108	528
cp-sh	synthetic	1000	10000	0.05	0	5	10.5181	0:00:10	136.50	147.51	129.08	129.59	0.00	0.00	92.98	10.27	ok	6	10000	9995	0.00	SH	5	0	1	0	Zero	0	0	0	6742397	6757159	3533867	5	2937	0	0	675.72	1748.11	76.93	0.39	1746.02	0.00	1.71	445	0	0
cp-csh	synthetic	1000	10000	0.05	0	5	10.7845	0:00:10	15.57	26.50	8.06	8.61	0.00	0.00	91.80	10.35	ok	13	10000	9997	0.00	GapSeed	5	0	1	0	Zero	2000	21136	21136	11959	13259	8954	11	1851	1623	71	1.33	823.74	59.53	16.44	806.89	803.31	0.41	441	357	1752
cp-sh	synthetic	333	30000	0.05	0	5	20.0760	0:00:20	691.50	1034.29	684.35	685.10	0.00	0.00	75.97	15.76	timeout 20s
cp-csh	synthetic	333	30000	0.05	0	5	20.0266	0:00:20	42.48	55.32	35.18	35.87	0.00	0.00	73.83	15.29	timeout 20s
cp-sh	synthetic	100	100000	0.05	0	5	100.2044	0:01:40	2713.34	2729.12	2706.37	2706.90	0.00	0.00	74.28	74.91	timeout 100s
cp-csh	synthetic	100	100000	0.05	0	5	100.0386	0:01:40	386.13	400.96	379.36	379.87	0.00	0.00	74.34	74.86	timeout 100s
cp-sh	synthetic	33	300000	0.05	0	5	20.0876	0:00:20	706.61	1054.12	699.42	700.13	0.00	0.00	75.21	15.62	timeout 20s
cp-csh	synthetic	33	300000	0.05	0	5	20.2625	0:00:20	3162.69	3594.38	3235.06	3235.76	0.00	0.00	76.41	15.98	timeout 20s
cp-sh	synthetic	10	1000000	0.05	0	5	100.2046	0:01:40	2730.62	2742.20	2723.02	2723.56	0.00	0.00	74.31	74.94	timeout 100s
cp-csh	synthetic	10	1000000	0.05	0	5	101.3629	0:01:41	13371.00	14773.83	13363.96	13364.48	0.00	0.00	73.81	75.31	timeout 100s
cp-sh	synthetic	3	3000000	0.05	0	5	20.1067	0:00:20	969.57	1076.17	965.55	966.27	0.00	0.00	74.21	15.40	timeout 20s
cp-csh	synthetic	3	3000000	0.05	0	5	21.0916	0:00:21	13542.24	20560.08	13640.51	13641.17	0.00	0.00	82.99	18.00	timeout 20s
cp-sh	synthetic	1	10000000	0.05	0	5	100.2680	0:01:40	2850.95	2870.82	2843.62	2844.15	0.00	0.00	73.43	74.11	timeout 100s
cp-csh	synthetic	1	10000000	0.05	0	5	21.0180	0:00:21	12435.10	20714.39	12535.46	12536.17	0.00	0.00	78.17	16.91	timeout 20s
cp-sh	synthetic	100000	100	0.05	0	6	2.3377	0:00:02	9.79	20.99	2.46	3.17	0.00	0.00	65.47	2.01	ok	100000	100	99	0.00	SH	6	0	1	0	Zero	15	12	12	124	138	96	0	1	12	0	1.39	0.02	0.06	0.01	0.01	0.00	0.01	4	3	15
cp-csh	synthetic	100000	100	0.05	0	6	2.9594	0:00:02	9.71	20.99	2.44	3.25	0.00	0.00	68.92	2.53	ok	100000	100	99	0.00	GapSeed	6	0	1	0	Zero	16	12	12	121	134	93	0	0	12	10	1.35	0.03	0.07	0.01	0.02	0.00	0.01	4	4	15
