alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
cp-sh	synthetic	1000	10000	0.01	0	5	10.0286	0:00:10	31.40	42.26	23.93	24.63	0.00	0.00	92.62	9.80	ok	130	10000	10001	0.00	SH	5	0	1	0	Zero	0	0	0	985509	992101	773784	0	344	0	0	99.20	77.00	10.48	0.31	75.83	0.00	0.85	91	0	0
cp-csh	synthetic	1000	10000	0.01	0	5	10.5797	0:00:10	15.37	26.53	8.10	8.79	0.00	0.00	92.53	10.32	ok	12	10000	10005	0.00	GapSeed	5	0	1	0	Zero	2000	21502	21502	10329	10577	8163	0	179	1918	107	1.06	878.63	48.38	13.99	864.27	862.66	0.37	91	76	1754
cp-sh	synthetic	1000	10000	0.02	0	5	10.3523	0:00:10	70.34	105.23	66.11	66.81	0.00	0.00	89.94	9.82	ok	23	10000	10002	0.00	SH	5	0	1	0	Zero	0	0	0	2518193	2530865	1562763	2	489	0	0	253.01	449.08	46.79	0.32	447.45	0.00	1.31	181	0	0
cp-csh	synthetic	1000	10000	0.02	0	5	10.9265	0:00:10	15.42	26.55	8.11	8.79	0.00	0.00	94.09	10.79	ok	12	10000	10004	0.00	GapSeed	5	0	1	0	Zero	2000	21406	21406	10705	11221	8347	2	446	1840	98	1.12	906.93	66.66	14.17	892.30	890.18	0.46	181	151	1750
cp-sh	synthetic	1000	10000	0.04	0	5	10.2326	0:00:10	163.52	189.07	160.11	160.81	0.00	0.00	93.40	10.13	ok	8	10000	9998	0.00	SH	5	0	1	0	Zero	0	0	0	5392768	5407566	2889551	6	450	0	0	540.76	1276.34	49.80	0.36	1274.45	0.00	1.53	356	0	0
cp-csh	synthetic	1000	10000	0.04	0	5	10.7746	0:00:10	15.23	26.45	8.02	8.71	0.00	0.00	90.86	10.30	ok	13	10000	9998	0.00	GapSeed	5	0	1	0	Zero	2000	21233	21233	11474	12506	8716	7	1268	1691	82	1.25	825.50	39.99	14.49	810.62	807.56	0.39	356	291	1753
cp-sh	synthetic	1000	10000	0.06	0	5	11.8848	0:00:11	224.05	315.28	220.73	221.44	0.00	0.00	91.93	11.44	ok	5	10000	9992	0.00	SH	5	0	1	0	Zero	0	0	0	7884937	7899896	4088353	4	1105	0	0	789.99	2372.47	69.31	0.36	2370.27	0.00	1.83	522	0	0
cp-csh	synthetic	1000	10000	0.06	0	5	10.3394	0:00:10	14.69	26.02	7.58	8.26	0.00	0.00	89.75	9.80	ok	12	10000	9995	0.00	GapSeed	5	0	1	0	Zero	2000	21072	21072	12458	14026	9205	15	2490	1558	65	1.40	858.22	51.01	14.81	842.96	838.63	0.45	521	420	1752
cp-sh	synthetic	1000	10000	0.08	0	5	12.7791	0:00:12	219.91	230.96	212.56	213.24	0.00	0.00	93.59	12.46	ok	4	10000	9993	0.00	SH	5	0	1	0	Zero	0	0	0	10392358	10407415	5316000	0	0	0	0	1040.74	3187.65	105.93	0.43	3185.32	0.00	1.90	686	0	0
cp-csh	synthetic	1000	10000	0.08	0	5	10.3307	0:00:10	15.11	26.50	8.06	8.74	0.00	0.00	91.09	9.92	ok	13	10000	9990	0.00	GapSeed	5	0	1	0	Zero	2000	20981	20981	13777	15952	9872	30	4266	1433	54	1.60	791.34	53.76	14.90	775.87	770.44	0.57	688	538	1750
cp-sh	synthetic	1000	10000	0.1	0	5	12.2687	0:00:12	269.38	314.96	266.59	267.26	0.00	0.00	93.16	11.94	ok	3	10000	10005	0.00	SH	5	0	1	0	Zero	0	0	0	12963244	12978257	6555991	0	0	0	0	1297.13	4082.04	70.42	0.40	4079.13	0.00	2.50	853	0	0
cp-csh	synthetic	1000	10000	0.1	0	5	10.0555	0:00:10	15.24	26.53	8.14	8.83	0.12	0.00	92.49	9.81	ok	13	10000	9997	0.00	GapSeed	5	0	1	0	Zero	2000	20959	20959	15376	18183	10680	43	6768	1315	43	1.82	770.16	56.55	15.56	753.85	746.73	0.75	848	652	1751
cp-sh	synthetic	1000	10000	0.12	0	5	11.3407	0:00:11	348.43	359.48	340.96	341.65	0.00	0.00	91.73	10.93	ok	2	10000	9983	0.00	SH	5	0	1	0	Zero	0	0	0	15057728	15072789	7593880	0	0	0	0	1507.28	5658.85	289.41	0.53	5656.04	0.00	2.28	998	0	0
cp-csh	synthetic	1000	10000	0.12	0	5	10.5159	0:00:10	15.73	26.56	8.17	8.89	0.25	0.00	93.19	10.31	ok	13	10000	9996	0.00	GapSeed	5	0	1	0	Zero	2000	20878	20878	17711	21245	11876	66	10673	1221	33	2.12	805.21	68.14	15.55	789.09	779.40	0.58	999	738	1750
cp-sh	synthetic	1000	10000	0.14	0	5	12.4078	0:00:12	479.68	527.52	475.34	476.01	0.00	0.00	92.37	11.96	ok	2	10000	10019	0.00	SH	5	0	1	0	Zero	0	0	0	17270126	17285162	8681080	0	0	0	0	1725.15	6192.26	31.97	0.48	6189.48	0.00	2.30	1136	0	0
cp-csh	synthetic	1000	10000	0.14	0	5	10.0598	0:00:10	15.12	26.56	8.12	8.79	0.00	0.00	92.65	9.83	ok	14	10000	9991	0.00	GapSeed	5	0	1	0	Zero	2000	20697	20697	21310	25717	13693	99	16731	1135	33	2.57	715.13	42.90	15.20	699.25	686.63	0.68	1143	825	1750
cp-sh	synthetic	1000	10000	0.01	0	6	1.6626	0:00:01	10.73	21.68	3.27	4.02	0.00	0.00	40.42	1.39	ok	1000	10000	10000	0.00	SH	6	0	1	0	Zero	161	155	155	19944	20451	18731	0	2346	138	0	2.05	1.63	0.32	0.46	0.73	0.00	0.44	91	7	145
cp-csh	synthetic	1000	10000	0.01	0	6	10.0652	0:00:10	11.61	22.52	4.23	4.93	0.11	0.00	89.37	9.72	ok	134	10000	10000	0.00	GapSeed	6	0	1	0	Zero	1666	5654	5654	10369	10620	8530	0	14	1582	336	1.06	74.59	5.33	3.44	70.79	69.81	0.36	91	80	1551
cp-sh	synthetic	1000	10000	0.02	0	6	10.0357	0:00:10	31.24	42.51	24.07	24.73	0.00	0.00	92.58	9.80	ok	218	10000	10000	0.00	SH	6	0	1	0	Zero	178	165	165	331551	338485	230485	131	98979	132	0	33.85	45.90	21.93	0.50	44.71	0.00	0.69	181	13	145
cp-csh	synthetic	1000	10000	0.02	0	6	10.0611	0:00:10	11.62	22.57	4.21	4.89	0.00	0.00	92.45	9.82	ok	138	10000	10001	0.00	GapSeed	6	0	1	0	Zero	1666	5579	5579	10779	11289	8748	2	95	1503	300	1.13	72.45	5.66	3.50	68.52	67.39	0.42	181	156	1550
cp-sh	synthetic	1000	10000	0.04	0	6	10.5028	0:00:10	94.45	105.61	87.18	87.89	0.00	0.00	88.86	9.91	ok	14	10000	9999	0.00	SH	6	0	1	0	Zero	201	176	176	3116927	3140557	1633775	1877	477529	114	0	314.06	748.46	59.35	0.54	746.48	0.00	1.44	355	25	140
cp-csh	synthetic	1000	10000	0.04	0	6	10.0289	0:00:10	11.25	22.52	4.18	4.96	0.00	0.00	93.84	9.93	ok	144	10000	10000	0.00	GapSeed	6	0	1	0	Zero	1666	5458	5458	11732	12777	9257	7	711	1358	237	1.28	69.15	5.62	3.53	64.75	63.02	0.87	355	294	1549
cp-sh	synthetic	1000	10000	0.06	0	6	11.5052	0:00:11	136.27	147.34	128.91	129.58	0.00	0.00	94.65	11.39	ok	7	10000	9999	0.00	SH	6	0	1	0	Zero	236	200	200	5543792	5577187	2774941	3768	582578	112	0	557.72	1640.41	79.86	0.55	1638.16	0.00	1.70	523	36	149
cp-csh	synthetic	1000	10000	0.06	0	6	10.1023	0:00:10	11.56	22.65	4.30	5.00	0.00	0.00	91.96	9.80	ok	149	10000	9999	0.00	GapSeed	6	0	1	0	Zero	1666	5329	5329	13002	14635	9948	18	1992	1228	189	1.46	67.30	6.58	3.49	63.35	60.79	0.45	524	419	1549
cp-sh	synthetic	1000	10000	0.08	0	6	11.2911	0:00:11	220.06	231.08	212.73	213.42	0.00	0.00	91.75	10.87	ok	4	10000	9993	0.00	SH	6	0	1	0	Zero	262	213	213	8100698	8144866	3981133	5648	549751	97	0	814.49	2816.93	104.44	0.66	2814.32	0.00	1.96	686	50	146
cp-csh	synthetic	1000	10000	0.08	0	6	10.0641	0:00:10	11.64	22.72	4.31	5.01	0.00	0.00	92.20	9.78	ok	154	10000	9999	0.00	GapSeed	6	0	1	0	Zero	1666	5221	5221	14720	17000	10882	31	4097	1111	149	1.70	64.85	4.86	3.44	60.84	57.30	0.58	689	532	1547
cp-sh	synthetic	1000	10000	0.1	0	6	11.1447	0:00:11	220.12	315.14	212.70	213.39	0.00	0.00	93.34	10.92	ok	3	10000	10005	0.00	SH	6	0	1	0	Zero	268	209	209	10623951	10675137	5165056	6657	526961	81	0	1066.94	3708.59	107.39	0.63	3705.97	0.00	2.00	853	59	140
cp-csh	synthetic	1000	10000	0.1	0	6	10.0373	0:00:10	11.91	23.08	4.60	5.26	0.00	0.00	93.05	9.85	ok	151	10000	10000	0.00	GapSeed	6	0	1	0	Zero	1666	5118	5118	17242	20277	12259	52	7384	1008	120	2.03	65.91	6.85	3.56	61.80	56.50	0.55	848	631	1546
cp-sh	synthetic	1000	10000	0.12	0	6	14.0252	0:00:14	220.07	231.29	212.88	213.57	0.00	0.00	92.61	13.50	ok	3	10000	9985	0.00	SH	6	0	1	0	Zero	280	223	223	13100242	13160746	6338820	7861	437776	71	0	1316.07	4667.00	172.75	0.73	4663.95	0.00	2.32	1002	57	128
cp-csh	synthetic	1000	10000	0.12	0	6	10.0309	0:00:10	11.55	23.14	4.65	5.30	0.00	0.00	92.31	9.77	ok	151	10000	10000	0.00	GapSeed	6	0	1	0	Zero	1666	5025	5025	21094	25030	14337	82	13138	916	94	2.50	65.86	4.88	3.49	61.75	54.48	0.61	1001	721	1546
cp-sh	synthetic	1000	10000	0.14	0	6	11.2990	0:00:11	464.90	567.30	460.42	461.09	0.00	0.00	92.49	10.96	ok	2	10000	10019	0.00	SH	6	0	1	0	Zero	318	252	252	14871700	14948087	7124583	11027	557086	83	0	1491.90	5639.83	40.05	0.66	5636.94	0.00	2.23	1136	66	149
cp-csh	synthetic	1000	10000	0.14	0	6	10.0814	0:00:10	11.98	23.56	5.12	5.81	2.38	0.00	92.73	9.87	ok	152	10000	9995	0.00	GapSeed	6	0	1	0	Zero	1666	4934	4934	28318	33509	18159	136	24094	833	77	3.35	65.75	4.96	3.33	61.67	51.09	0.74	1151	804	1545
cp-sh	synthetic	1000	10000	0.01	0	7	1.6164	0:00:01	10.47	21.64	3.27	3.95	0.00	0.00	65.74	1.59	ok	1000	10000	10000	0.00	SH	7	0	1	0	Zero	803	760	760	10620	10901	9248	0	396	731	0	1.09	1.59	0.22	0.50	0.48	0.00	0.61	91	42	774
cp-csh	synthetic	1000	10000	0.01	0	7	8.5720	0:00:08	10.84	21.96	3.52	4.25	0.00	0.00	90.49	8.29	ok	1000	10000	10000	0.00	GapSeed	7	0	1	0	Zero	1428	2218	2218	10410	10662	8804	0	0	1343	776	1.07	8.47	0.86	1.24	6.91	6.11	0.31	91	81	1375
cp-sh	synthetic	1000	10000	0.02	0	7	1.5800	0:00:01	10.52	21.69	3.28	3.99	0.00	0.00	65.19	1.54	ok	1000	10000	10000	0.00	SH	7	0	1	0	Zero	826	743	743	11462	12062	9771	1	1239	687	0	1.21	1.55	0.14	0.49	0.70	0.00	0.35	180	82	770
cp-csh	synthetic	1000	10000	0.02	0	7	8.4466	0:00:08	10.87	21.93	3.58	4.28	0.00	0.00	92.73	8.36	ok	1000	10000	10000	0.00	GapSeed	7	0	1	0	Zero	1428	2147	2147	10873	11387	9068	2	5	1265	694	1.14	8.34	0.83	1.24	6.74	5.84	0.36	180	157	1374
cp-sh	synthetic	1000	10000	0.04	0	7	2.4293	0:00:02	10.68	21.70	3.28	3.96	16.48	0.00	63.79	2.05	ok	1000	10000	9999	0.00	SH	7	0	1	0	Zero	871	715	715	14543	15964	11680	7	5112	609	0	1.60	2.39	0.22	0.51	1.50	0.00	0.38	355	156	765
cp-csh	synthetic	1000	10000	0.04	0	7	8.5131	0:00:08	10.69	21.98	3.58	4.25	0.00	0.00	91.96	8.34	ok	1000	10000	9999	0.00	GapSeed	7	0	1	0	Zero	1428	2011	2011	11991	13057	9707	8	51	1121	554	1.31	8.41	0.89	1.21	6.50	5.36	0.69	355	295	1372
cp-sh	synthetic	1000	10000	0.06	0	7	4.9792	0:00:04	11.47	22.69	4.27	4.95	4.73	0.00	84.39	4.71	ok	1000	10000	9999	0.00	SH	7	0	1	0	Zero	910	689	689	24376	27276	17470	31	18169	540	0	2.73	4.94	0.95	0.51	3.95	0.00	0.48	525	221	761
cp-csh	synthetic	1000	10000	0.06	0	7	8.4051	0:00:08	10.84	22.02	3.57	4.26	0.00	0.00	93.15	8.34	ok	1000	10000	9999	0.00	GapSeed	7	0	1	0	Zero	1428	1893	1893	13539	15226	10597	19	285	996	444	1.52	8.28	0.95	1.21	6.62	5.00	0.45	525	416	1369
cp-sh	synthetic	1000	10000	0.08	0	7	10.0228	0:00:10	20.26	31.82	13.39	14.05	0.75	0.00	93.97	9.93	ok	368	10000	10000	0.00	SH	7	0	1	0	Zero	944	665	665	105284	113360	59501	283	110602	478	0	11.34	27.13	14.25	0.57	25.83	0.00	0.73	690	279	757
cp-csh	synthetic	1000	10000	0.08	0	7	8.8534	0:00:08	10.79	21.97	3.54	4.26	0.00	0.00	93.06	8.76	ok	1000	10000	9999	0.00	GapSeed	7	0	1	0	Zero	1428	1786	1786	15838	18242	11922	35	1270	885	355	1.82	8.71	0.82	1.20	6.86	4.67	0.64	689	523	1368
cp-sh	synthetic	1000	10000	0.1	0	7	10.0634	0:00:10	94.01	105.36	87.02	87.70	0.00	0.00	92.54	9.82	ok	18	10000	9996	0.00	SH	7	0	1	0	Zero	972	645	645	1675620	1712582	775917	5683	833041	421	0	171.26	558.06	136.99	0.62	555.97	0.00	1.47	851	327	748
cp-csh	synthetic	1000	10000	0.1	0	7	10.0090	0:00:10	11.20	22.23	3.79	4.49	0.00	0.00	92.50	9.77	ok	1000	10000	10000	0.00	GapSeed	7	0	1	0	Zero	1428	1694	1694	19591	22885	14068	59	5021	789	282	2.29	9.86	1.12	1.12	8.27	4.57	0.47	847	617	1367
cp-sh	synthetic	1000	10000	0.12	0	7	10.1736	0:00:10	136.11	189.09	128.64	129.33	0.00	0.00	91.78	9.87	ok	7	10000	9986	0.00	SH	7	0	1	0	Zero	996	619	619	3553475	3614319	1613858	12195	1190228	382	0	361.43	1450.06	188.87	0.69	1447.33	0.00	2.05	998	376	759
cp-csh	synthetic	1000	10000	0.12	0	7	10.0173	0:00:10	11.21	22.31	3.92	4.60	14.25	0.00	92.82	9.82	ok	807	10000	10000	0.00	GapSeed	7	0	1	0	Zero	1428	1607	1607	26831	31369	18087	104	13252	705	225	3.14	12.27	1.20	1.11	10.44	4.49	0.72	1002	702	1366
cp-sh	synthetic	1000	10000	0.14	0	7	11.3169	0:00:11	135.98	147.26	128.86	129.52	0.00	0.00	92.08	10.93	ok	5	10000	9984	0.00	SH	7	0	1	0	Zero	1030	607	607	5794117	5883733	2606848	20517	1342421	343	0	588.37	2257.78	100.18	0.71	2255.01	0.00	2.07	1140	423	766
cp-csh	synthetic	1000	10000	0.14	0	7	10.0330	0:00:10	11.38	22.96	4.52	5.21	7.62	0.00	93.07	9.87	ok	537	10000	9998	0.00	GapSeed	7	0	1	0	Zero	1428	1530	1530	45492	52162	27942	218	35444	632	179	5.22	18.52	2.79	1.07	16.75	4.57	0.71	1151	776	1368
