alg	cnt	n	e	r	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
sh	100000	100	0.05	1	15	1.2777	0:00:01	9.75	21.07	2.59	3.92	0.00	0.00	39.93	1.00	ok	100000	100	99	0.00	SH	15	0	1	0	Zero	6	3	3	154	169	131	0	0	2	2	1.70	0.01	0.02	0.00	0.01	0.00	0.00	4	3	6
csh	100000	100	0.05	1	15	1.4185	0:00:01	9.73	21.07	2.56	3.89	0.00	0.00	35.96	1.00	ok	100000	100	99	0.00	CSH	15	0	1	0	Zero	6	3	3	153	168	130	0	0	2	2	1.69	0.01	0.01	0.00	0.01	0.00	0.00	4	3	6
sh	33333	300	0.05	1	15	1.2980	0:00:01	9.73	21.07	2.52	3.57	0.00	0.00	38.51	0.99	ok	33333	300	299	0.00	SH	15	0	1	0	Zero	20	10	10	496	546	420	0	1	10	9	1.82	0.04	0.03	0.01	0.02	0.00	0.01	13	10	20
csh	33333	300	0.05	1	15	1.4345	0:00:01	9.86	21.07	2.59	3.96	0.00	0.00	34.85	0.99	ok	33333	300	299	0.00	CSH	15	0	1	0	Zero	20	10	10	492	542	417	0	1	10	9	1.81	0.04	0.04	0.01	0.02	0.00	0.01	13	10	20
sh	10000	1000	0.05	1	15	1.3671	0:00:01	9.79	21.07	2.58	3.68	0.00	0.00	37.30	0.99	ok	10000	1000	999	0.00	SH	15	0	1	0	Zero	66	34	34	1799	1982	1502	1	12	33	30	1.98	0.13	0.06	0.02	0.08	0.00	0.03	44	31	65
csh	10000	1000	0.05	1	15	1.5165	0:00:01	9.81	21.07	2.71	4.06	0.00	0.00	33.66	1.00	ok	10000	1000	999	0.00	CSH	15	0	1	0	Zero	66	34	34	1787	1968	1491	1	11	33	30	1.97	0.15	0.06	0.02	0.09	0.01	0.03	44	32	65
sh	3333	3000	0.05	1	15	1.4222	0:00:01	10.31	21.41	3.06	4.07	0.00	0.00	35.73	1.00	ok	3333	3000	2999	0.00	SH	15	0	1	0	Zero	200	104	104	5611	6180	4649	5	55	102	92	2.06	0.42	0.10	0.07	0.25	0.00	0.10	132	95	198
csh	3333	3000	0.05	1	15	1.5709	0:00:01	10.20	21.41	2.98	4.04	0.00	0.00	64.94	1.51	ok	3333	3000	2999	0.00	CSH	15	0	1	0	Zero	200	104	104	5575	6138	4618	6	52	102	92	2.05	0.46	0.13	0.08	0.29	0.02	0.10	132	96	198
sh	1000	10000	0.05	1	15	1.3607	0:00:01	10.58	21.69	5.38	5.76	0.00	0.00	37.49	1.00	ok	1000	10000	10001	0.00	SH	15	0	1	0	Zero	666	349	349	18979	20901	15684	20	219	342	308	2.09	1.34	0.27	0.19	0.85	0.00	0.29	441	317	659
csh	1000	10000	0.05	1	15	1.4821	0:00:01	10.65	21.69	3.30	4.39	0.00	0.00	34.39	1.00	ok	1000	10000	10001	0.00	CSH	15	0	1	0	Zero	666	349	349	18857	20760	15581	20	207	342	306	2.08	1.46	0.25	0.21	0.97	0.07	0.28	441	319	659
