alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
dijkstra	synthetic	1000000	100	0.01			13.9261	0:00:13	9.49	20.99	2.47	3.19	0.00	0.00	86.75	12.60	ok	1000000	100	100	0.00	Zero	0	0	0	0		0	0	0	135	138	131	0	0	0	0	1.38	0.01	0.08	0.00	0.00	0.00	0.01	1	0	0
dijkstra	synthetic	333333	300	0.01			16.1407	0:00:16	9.73	20.99	2.45	3.18	0.00	0.00	89.19	14.96	ok	333333	300	300	0.00	Zero	0	0	0	0		0	0	0	712	724	697	0	0	0	0	2.41	0.05	0.15	0.00	0.02	0.00	0.03	3	0	0
dijkstra	synthetic	100000	1000	0.01			20.0367	0:00:20	9.64	20.99	2.48	3.29	0.00	0.00	77.94	16.14	ok	58333	1000	999	0.00	Zero	0	0	0	0		0	0	0	7105	7197	6825	0	0	0	0	7.20	0.34	0.37	0.00	0.24	0.00	0.10	9	0	0
dijkstra	synthetic	33333	3000	0.01			20.0390	0:00:20	10.10	21.39	3.06	3.65	0.00	0.00	77.29	16.02	ok	4899	3000	2999	0.00	Zero	0	0	0	0		0	0	0	71893	72631	65232	0	0	0	0	24.21	4.07	1.11	0.00	3.76	0.00	0.31	27	0	0
dijkstra	synthetic	10000	10000	0.01			20.1286	0:00:20	27.13	38.42	19.98	20.69	0.00	0.00	76.85	15.93	ok	158	10000	10000	0.00	Zero	0	0	0	0		0	0	0	1000398	1007055	785665	0	0	0	0	100.70	126.88	20.68	0.00	125.09	0.00	1.79	91	0	0
dijkstra	synthetic	3333	30000	0.01			23.0493	0:00:23	183.10	259.93	177.05	177.68	0.00	0.00	67.71	16.14	ok	6	30000	29996	0.00	Zero	0	0	0	0		0	0	0	10836492	10871511	7034371	0	0	0	0	362.38	3831.87	377.19	0.00	3823.59	0.00	8.28	272	0	0
dijkstra	synthetic	1000	100000	0.01			79.2454	0:01:19	2224.47	2237.23	2217.30	2217.98	0.00	0.00	94.93	75.73	ok	1	100000	100016	0.00	Zero	0	0	0	0		0	0	0	137246090	137392474	76442116	0	0	0	0	1373.70	79199.74	0.00	0.00	79159.98	0.00	39.76	906	0	0
dijkstra	synthetic	333	300000	0.01			707.1622	0:11:47	8793.61	13159.98	8786.30	8787.20	0.00	0.00	91.42	646.97	out-of-memory 137
dijkstra	synthetic	100	1000000	0.01			1002.6556	0:16:42	18457.62	26215.59	18470.08	18471.00	21.71	0.00	96.45	965.49	timeout 1000s
cp-sh-noprune	synthetic	1000000	100	0.01	0	15	20.0661	0:00:20	9.77	21.00	2.46	3.06	0.00	0.00	77.50	16.05	ok	665667	100	100	0.00	SH	15	0	0	0	Zero	5	5	5	107	110	98	0	0	0	0	1.10	0.03	0.11	0.01	0.01	0.00	0.01	1	1	1
cp-csh-noprune	synthetic	1000000	100	0.01	0	15	20.0346	0:00:20	9.30	21.00	2.47	3.11	0.00	0.00	75.79	15.72	ok	666658	100	100	0.00	GapSeed	15	0	0	0	Zero	6	5	5	107	110	97	0	0	0	0	1.10	0.03	0.11	0.01	0.01	0.00	0.01	1	1	1
cp-sh	synthetic	1000000	100	0.01	0	15	20.0658	0:00:20	9.42	20.99	2.45	3.08	0.00	0.00	76.43	15.85	ok	615473	100	100	0.00	SH	15	0	1	0	Zero	5	5	5	107	110	98	0	0	5	0	1.10	0.03	0.15	0.01	0.01	0.00	0.01	1	1	6
cp-csh	synthetic	1000000	100	0.01	0	15	20.0449	0:00:20	9.13	20.99	2.49	3.10	0.00	0.00	80.32	16.57	ok	579140	100	100	0.00	GapSeed	15	0	1	0	Zero	6	5	5	107	110	97	0	0	5	5	1.10	0.03	0.11	0.01	0.01	0.00	0.01	1	1	6
cp-sh-noprune	synthetic	333333	300	0.01	0	15	20.0641	0:00:20	9.77	21.00	2.46	3.18	0.00	0.00	79.24	16.40	ok	223147	300	300	0.00	SH	15	0	0	0	Zero	19	17	17	325	333	298	0	0	0	0	1.11	0.09	0.20	0.03	0.03	0.00	0.03	3	2	2
