alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	100000	100	0.01	1.0659	0:00:01	32.37	45.22	26.72	27.12	0.00	0.00	47.92	0.98
pa	100000	100	0.01	1.0641	0:00:01	32.38	45.22	26.74	27.15	0.00	0.00	49.86	1.02
pa	100000	100	0.01	1.0681	0:00:01	32.36	45.22	26.75	27.14	0.00	0.00	47.70	0.98
edlib	100000	100	0.01	2.2729	0:00:02	41.14	54.25	35.18	35.40	0.00	0.00	68.64	2.05
edlib	100000	100	0.01	2.2394	0:00:02	41.18	54.38	35.25	35.48	0.00	0.00	68.29	2.02
edlib	100000	100	0.01	2.2549	0:00:02	41.23	54.25	35.15	35.38	0.00	0.00	68.30	2.02
wfa	100000	100	0.01	0.2065	0:00:00	2.78	7.10	0.04	0.38	0.00	0.00	0.00	0.00
wfa	100000	100	0.01	0.2164	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	100000	100	0.01	0.2379	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	100000	100	0.05	1.4752	0:00:01	32.47	45.22	26.77	27.17	0.00	0.00	34.56	1.00
pa	100000	100	0.05	1.4560	0:00:01	32.36	45.22	26.77	27.15	0.00	0.00	35.71	1.00
pa	100000	100	0.05	1.4639	0:00:01	32.36	45.22	26.79	27.20	0.00	0.00	35.50	1.00
edlib	100000	100	0.05	2.2836	0:00:02	41.61	54.78	35.65	35.86	19.46	0.00	67.42	2.01
edlib	100000	100	0.05	2.3172	0:00:02	41.32	54.65	35.50	35.73	0.00	0.00	65.20	1.99
edlib	100000	100	0.05	2.2930	0:00:02	41.88	54.91	35.73	35.96	0.00	0.00	67.59	2.03
wfa	100000	100	0.05	0.3513	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	100000	100	0.05	0.3572	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	100000	100	0.05	0.3266	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	100000	100	0.2	5.5732	0:00:05	33.22	45.61	27.12	27.51	0.00	0.00	82.37	5.07
pa	100000	100	0.2	5.6271	0:00:05	33.20	45.61	27.12	27.50	0.00	0.00	82.49	5.11
pa	100000	100	0.2	5.5571	0:00:05	33.30	45.61	27.12	27.51	0.00	0.00	82.06	5.04
edlib	100000	100	0.2	2.2121	0:00:02	41.54	54.31	35.29	35.54	0.00	0.00	69.59	2.02
edlib	100000	100	0.2	2.2198	0:00:02	41.27	54.31	35.29	35.53	0.00	0.00	68.94	2.02
edlib	100000	100	0.2	2.2164	0:00:02	41.19	54.44	35.39	35.63	0.00	0.00	70.84	2.05
wfa	100000	100	0.2	0.7750	0:00:00	4.55	24.32	0.79	0.98	0.00	0.00	0.00	0.48
wfa	100000	100	0.2	0.7673	0:00:00	4.55	24.32	0.79	0.97	0.00	0.00	0.00	0.49
wfa	100000	100	0.2	0.7824	0:00:00	4.69	24.32	0.79	0.96	0.00	0.00	0.00	0.48
pa	33333	300	0.01	1.0011	0:00:01	28.29	41.20	22.77	23.75	0.00	0.00	0.00	0.49
