alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	1000000	100	0.01	9.1287	0:00:09	266.09	279.47	260.67	261.94	0.00	0.00	93.23	9.00
edlib	1000000	100	0.01	21.9277	0:00:21	332.54	352.56	326.84	328.14	0.00	0.00	69.55	15.74
wfa	1000000	100	0.01	1.7739	0:00:01	4.60	24.33	0.82	1.66	0.00	0.00	58.61	1.51
pa	1000000	100	0.05	13.9323	0:00:13	266.04	279.24	260.27	260.93	0.00	0.00	92.80	13.50
edlib	1000000	100	0.05	22.1903	0:00:22	335.53	355.98	329.63	330.76	0.00	0.00	68.17	15.59
wfa	1000000	100	0.05	3.3084	0:00:03	4.54	24.33	0.80	1.48	0.00	0.00	77.09	3.03
pa	1000000	100	0.1	22.7466	0:00:22	266.40	279.76	260.87	261.43	0.00	0.00	65.59	15.39
edlib	1000000	100	0.1	22.9353	0:00:22	332.39	353.30	327.36	328.33	0.00	0.00	66.10	15.65
wfa	1000000	100	0.1	4.5189	0:00:04	4.53	24.33	0.81	1.63	0.25	0.00	79.66	4.08
pa	1000000	100	0.2	64.8180	0:01:04	268.06	281.36	262.12	262.73	0.00	0.00	69.97	45.85
edlib	1000000	100	0.2	22.2610	0:00:22	332.49	352.29	326.54	326.92	0.00	0.00	68.78	15.80
wfa	1000000	100	0.2	8.0860	0:00:08	4.59	24.33	0.73	1.07	0.00	0.00	88.79	7.66
pa	333333	300	0.01	8.2100	0:00:08	225.58	245.40	219.61	220.67	0.00	0.00	90.37	7.90
edlib	333333	300	0.01	19.0010	0:00:19	249.02	270.65	243.82	244.65	0.00	0.00	80.27	15.74
wfa	333333	300	0.01	1.4525	0:00:01	4.53	24.33	0.80	1.42	0.00	0.00	35.08	0.99
pa	333333	300	0.05	14.2218	0:00:14	225.04	244.40	218.90	219.49	0.00	0.00	94.86	13.98
edlib	333333	300	0.05	17.0293	0:00:17	251.53	272.02	245.41	246.56	0.00	0.00	89.50	15.73
wfa	333333	300	0.05	2.7370	0:00:02	4.70	24.33	0.81	1.47	0.00	0.00	74.55	2.52
pa	333333	300	0.1	24.9441	0:00:24	224.54	243.99	218.60	219.18	0.00	0.00	60.90	15.69
edlib	333333	300	0.1	19.4160	0:00:19	247.74	269.29	242.42	242.99	0.00	0.00	80.09	16.04
wfa	333333	300	0.1	4.8060	0:00:04	4.72	24.33	0.82	1.29	0.00	0.00	85.51	4.59
pa	333333	300	0.2	40.8087	0:00:40	224.54	244.21	218.48	219.47	0.00	0.00	37.18	15.65
edlib	333333	300	0.2	19.5536	0:00:19	246.84	268.77	241.80	242.60	0.00	0.00	77.94	15.73
wfa	333333	300	0.2	8.6932	0:00:08	4.58	24.33	0.87	1.50	0.00	0.00	88.12	8.15
pa	100000	1000	0.01	8.4081	0:00:08	204.73	216.91	198.47	199.46	0.00	0.00	88.13	7.88
edlib	100000	1000	0.01	17.3244	0:00:17	212.43	225.73	206.87	207.66	0.00	0.00	89.42	15.97
wfa	100000	1000	0.01	1.3354	0:00:01	4.63	24.33	0.78	1.34	0.00	0.00	38.16	1.00
pa	100000	1000	0.05	14.3224	0:00:14	204.36	216.66	198.55	199.11	0.00	0.00	91.67	13.62
edlib	100000	1000	0.05	17.9134	0:00:17	211.95	225.46	207.93	209.03	195.39	0.00	85.74	15.83
wfa	100000	1000	0.05	3.0544	0:00:03	4.62	24.33	0.87	2.13	0.25	0.00	66.77	2.51
