alg	model	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0
pa	random	1	100000	0.1	1.1112	0:00:01	56.63	68.10	50.28	51.11	0.00	0.00	46.82	1.02	ok	1	105717	102965	0.00	GapSeed	9	0	1	0	Gap	11746	7440	7426	2478112	2632628	1028473	0	1730851	6804	1602	24.90	8.39	1085.00	22.56	10267	6148
pa_zero	random	1	100000	0.1	0.9365	0:00:00	61.39	75.23	55.30	56.08	0.00	0.00	0.00	0.54	ok	1	105717	102965	0.00	GapSeed	9	0	1	0	Gap	11746	7440	7440	2644715	2799133	1081573	0	736479	6810	5424	26.48	8.77	920.16	20.83	10267	4866
pa_unordered	random	1	100000	0.1	425.0299	0:07:05	10799.42	10811.71	10793.07	10793.96	0.00	0.00	95.17	405.05	ok	1	105717	102965	0.00	Unordrd	0	0	0	0		9232	5957	5957	357835108	361412452	87372937	0	131602423	4721	0	3418.68	5.96	425004.22	0.00	10267	3275
edlib	random	1	100000	0.1	0.4814	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok
biwfa	random	1	100000	0.1	0.5977	0:00:00	11.06	30.40	5.75	6.17	0.00	0.00	0.00	0.52	ok
pa	human	1	100000	0.1	2.8139	0:00:02	100.74	113.30	94.70	95.30	0.00	0.00	73.91	2.56	ok	1	113723	110185	0.00	GapSeed	9	0	1	0	Gap	12635	10414	10392	5312923	5548259	1967607	0	3210820	7522	1197	48.79	10.98	2785.70	75.54	11501	6807
pa_zero	human	1	100000	0.1	3.3387	0:00:03	188.82	200.64	182.23	182.86	0.00	0.00	78.47	3.13	ok	1	113723	110185	0.00	GapSeed	9	0	1	0	Gap	12635	10414	10414	6362064	6606722	2297658	0	1994731	7566	5030	58.09	10.71	3309.92	64.74	11501	5350
pa_unordered	human	1	100000	0.1	811.0403	0:13:31	31942.73	32315.37	31983.00	31983.42	0.00	0.00	98.20	796.90	ok	1	113723	110185	0.00	Unordrd	0	0	0	0		7468	4972	4972	882921639	888550422	218716955	0	155678112	3564	0	7813.29	7.48	811004.62	0.00	11501	2496
edlib	human	1	100000	0.1	0.5286	0:00:00	3.13	7.38	0.46	0.73	0.00	0.00	0.00	0.00	ok
biwfa	human	1	100000	0.1	0.8957	0:00:00	10.64	30.40	5.35	5.66	0.00	0.00	0.00	0.50	ok
