alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status
dijkstra	100	100	0.01	0.1875	0:00:00	-	-	-	-	-	-	0.00	0	ok
pa_noprune	100	100	0.01	0.1826	0:00:00	-	-	-	-	-	-	0.00	0	ok
dijkstra	100	100	0.05	0.0290	0:00:00	1.50	7.25	0.26	0.39	0.00	0.00	0.00	0.00	ok
pa_noprune	100	100	0.05	0.0193	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok
dijkstra	100	100	0.1	0.1604	0:00:00	-	-	-	-	-	-	0.00	0	ok
pa_noprune	100	100	0.1	0.1443	0:00:00	-	-	-	-	-	-	0.00	0	ok
dijkstra	100	100	0.2	0.0351	0:00:00	3.20	7.38	0.36	0.51	0.00	0.00	0.00	0.00	ok
pa_noprune	100	100	0.2	0.0228	0:00:00	3.02	7.38	0.06	0.44	0.00	0.00	0.00	0.00	ok
dijkstra	33	300	0.01	0.0159	0:00:00	1.50	7.25	0.27	0.42	0.00	0.00	0.00	0.00	ok
pa_noprune	33	300	0.01	0.0161	0:00:00	1.44	7.38	0.36	0.48	0.00	0.00	0.00	0.00	ok
dijkstra	33	300	0.05	0.0687	0:00:00	-	-	-	-	-	-	0.00	0	ok
pa_noprune	33	300	0.05	0.0262	0:00:00	-	-	-	-	-	-	0.00	0	ok
dijkstra	33	300	0.1	0.0468	0:00:00	-	-	-	-	-	-	0.00	0	ok
pa_noprune	33	300	0.1	0.1672	0:00:00	-	-	-	-	-	-	0.00	0	ok
dijkstra	33	300	0.2	0.0960	0:00:00	3.05	7.38	0.46	0.70	0.00	0.00	0.00	0.00	ok
pa_noprune	33	300	0.2	0.0395	0:00:00	-	-	-	-	-	-	0.00	0	ok
dijkstra	10	1000	0.01	0.0283	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok
pa_noprune	10	1000	0.01	0.0348	0:00:00	-	-	-	-	-	-	0.00	0	ok
dijkstra	10	1000	0.05	0.1577	0:00:00	-	-	-	-	-	-	0.00	0	ok
pa_noprune	10	1000	0.05	0.1186	0:00:00	-	-	-	-	-	-	0.00	0	ok
dijkstra	10	1000	0.1	0.2295	0:00:00	2.85	7.38	0.45	0.65	0.00	0.00	0.00	0.00	ok
pa_noprune	10	1000	0.1	0.0406	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok
dijkstra	10	1000	0.2	0.4904	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok
pa_noprune	10	1000	0.2	0.0611	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok
dijkstra	3	3000	0.01	0.0380	0:00:00	-	-	-	-	-	-	0.00	0	ok
pa_noprune	3	3000	0.01	0.0282	0:00:00	-	-	-	-	-	-	0.00	0	ok
dijkstra	3	3000	0.05	0.3727	0:00:00	1.56	7.38	0.35	0.49	0.00	0.00	0.00	0.00	ok
pa_noprune	3	3000	0.05	0.0537	0:00:00	3.09	7.38	0.38	0.50	0.00	0.00	0.00	0.00	ok
dijkstra	3	3000	0.1	0.9199	0:00:00	41.03	52.20	34.91	35.34	0.00	0.00	0.00	0.55	ok
pa_noprune	3	3000	0.1	0.1334	0:00:00	3.09	7.38	0.46	0.67	0.00	0.00	0.00	0.00	ok
dijkstra	3	3000	0.2	1.6740	0:00:01	75.19	86.27	68.95	69.73	0.00	0.00	61.55	1.55	ok
pa_noprune	3	3000	0.2	0.2329	0:00:00	0.78	4.35	0.31	0.35	0.00	0.00	0.00	0.00	ok
dijkstra	1	10000	0.01	0.1331	0:00:00	3.11	7.38	0.46	0.67	0.00	0.00	0.00	0.00	ok
pa_noprune	1	10000	0.01	0.0169	0:00:00	2.94	7.38	0.46	0.64	0.00	0.00	0.00	0.00	ok
dijkstra	1	10000	0.05	2.5364	0:00:02	146.96	159.21	140.70	141.22	0.00	0.00	61.16	2.13	ok
pa_noprune	1	10000	0.05	0.2474	0:00:00	3.04	7.38	0.46	0.70	0.00	0.00	0.00	0.00	ok
dijkstra	1	10000	0.1	4.6996	0:00:04	302.19	431.20	296.89	297.88	0.00	0.00	87.67	4.63	ok
pa_noprune	1	10000	0.1	0.7924	0:00:00	30.93	42.05	24.42	24.87	0.00	0.00	0.00	0.49	ok
dijkstra	1	10000	0.2	8.7074	0:00:08	555.51	839.43	550.39	551.02	0.00	0.00	88.54	8.21	ok
pa_noprune	1	10000	0.2	1.0957	0:00:01	52.46	63.47	46.09	46.57	0.00	0.00	46.56	1.01	ok
