alg	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	md	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	h_ops
dijkstra	1000	100	0.01			0.0189	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	Zero	0	0	0	0		0	0	0	102	104	99	0	0	0	0	1.05	0.00	0.00	0.00	1	0	0
dijkstra_nogreedy	1000	100	0.01			0.0408	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	Zero	0	0	0	0		0	0	0	102	302	0	0	0	0	0	3.03	0.00	0.03	0.00	1	0	0
pa_noprune	1000	100	0.01			0.0220	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	GapSeed	31	0	0	0	Gap	3	2	2	101	102	99	0	0	0	0	1.02	0.00	0.00	0.00	1	1	46
pa_noprune_nogreedy	1000	100	0.01			0.0598	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	GapSeed	31	0	0	0	Gap	3	2	2	101	300	0	0	0	0	0	3.00	0.00	0.04	0.00	1	1	1681
dijkstra	1000	100	0.05			0.0425	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	100	0.00	Zero	0	0	0	0		0	0	0	249	280	198	0	0	0	0	2.81	0.00	0.02	0.00	4	0	0
dijkstra_nogreedy	1000	100	0.05			0.0972	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	100	0.00	Zero	0	0	0	0		0	0	0	466	674	0	0	0	0	0	6.74	0.00	0.08	0.00	4	0	0
pa_noprune	1000	100	0.05			0.0295	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	100	0.00	GapSeed	9	0	0	0	Gap	11	7	7	107	117	99	0	0	0	0	1.18	0.01	0.01	0.00	4	4	213
pa_noprune_nogreedy	1000	100	0.05			0.0680	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	100	0.00	GapSeed	9	0	0	0	Gap	11	7	7	110	312	0	0	0	0	0	3.12	0.01	0.05	0.00	4	4	1884
dijkstra	1000	100	0.1			0.0759	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	Zero	0	0	0	0		0	0	0	629	713	368	0	0	0	0	7.13	0.00	0.06	0.00	9	0	0
dijkstra_nogreedy	1000	100	0.1			0.1783	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	Zero	0	0	0	0		0	0	0	900	1123	0	0	0	0	0	11.23	0.00	0.16	0.00	9	0	0
pa_noprune	1000	100	0.1			0.0410	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	GapSeed	6	0	0	0	Gap	16	9	9	148	175	123	0	0	0	0	1.75	0.01	0.02	0.00	9	7	482
pa_noprune_nogreedy	1000	100	0.1			0.0842	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	GapSeed	6	0	0	0	Gap	16	9	9	156	362	0	0	0	0	0	3.63	0.01	0.06	0.00	9	7	2388
dijkstra	1000	100	0.2			0.2182	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	Zero	0	0	0	0		0	0	0	1610	1763	613	0	0	0	0	17.64	0.00	0.20	0.00	16	0	0
dijkstra_nogreedy	1000	100	0.2			0.3005	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	Zero	0	0	0	0		0	0	0	1720	1981	0	0	0	0	0	19.82	0.00	0.29	0.00	16	0	0
pa_noprune	1000	100	0.2			0.1022	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	GapSeed	7	1	0	0	Gap	14	32	32	194	252	131	0	0	0	0	2.52	0.05	0.04	0.00	16	14	1538
pa_noprune_nogreedy	1000	100	0.2			0.1402	0:00:00	0.01	1.34	0.03	0.03	0.00	0.00	0.00	0.00	ok	1000	100	99	0.00	GapSeed	7	1	0	0	Gap	14	32	32	206	426	0	3	0	0	0	4.27	0.04	0.08	0.00	16	14	4119
dijkstra	333	300	0.01			0.0183	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	300	0.00	Zero	0	0	0	0		0	0	0	416	431	400	0	0	0	0	1.44	0.00	0.01	0.00	3	0	0
dijkstra_nogreedy	333	300	0.01			0.0659	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	300	0.00	Zero	0	0	0	0		0	0	0	842	1446	0	0	0	0	0	4.82	0.00	0.15	0.00	3	0	0
pa_noprune	333	300	0.01			0.0216	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	300	0.00	GapSeed	31	0	0	0	Gap	9	6	6	303	308	298	0	0	0	0	1.03	0.01	0.01	0.00	3	3	151
pa_noprune_nogreedy	333	300	0.01			0.0612	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	300	0.00	GapSeed	31	0	0	0	Gap	9	6	6	307	907	0	0	0	0	0	3.02	0.01	0.13	0.00	3	3	5083
dijkstra	333	300	0.05			0.0806	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	299	0.00	Zero	0	0	0	0		0	0	0	2779	2983	1831	0	0	0	0	9.94	0.00	0.20	0.00	13	0	0
dijkstra_nogreedy	333	300	0.05			0.2536	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	299	0.00	Zero	0	0	0	0		0	0	0	4119	4766	0	0	0	0	0	15.89	0.00	0.72	0.00	13	0	0
pa_noprune	333	300	0.05			0.0331	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	299	0.00	GapSeed	9	0	0	0	Gap	33	22	22	462	508	419	0	0	0	0	1.70	0.02	0.03	0.00	13	12	941
pa_noprune_nogreedy	333	300	0.05			0.0893	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	299	0.00	GapSeed	9	0	0	0	Gap	33	22	22	478	1088	0	0	0	0	0	3.63	0.02	0.20	0.00	13	12	6926
dijkstra	333	300	0.1			0.2990	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	300	0.00	Zero	0	0	0	0		0	0	0	7429	7864	3067	0	0	0	0	26.19	0.00	0.85	0.00	25	0	0
dijkstra_nogreedy	333	300	0.1			0.5063	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	300	0.00	Zero	0	0	0	0		0	0	0	7954	8697	0	0	0	0	0	28.96	0.00	1.47	0.00	25	0	0
pa_noprune	333	300	0.1			0.0587	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	300	0.00	GapSeed	6	0	0	0	Gap	50	31	31	927	1068	705	0	0	0	0	3.56	0.03	0.10	0.00	25	21	3142
pa_noprune_nogreedy	333	300	0.1			0.1360	0:00:00	2.93	7.38	0.07	0.54	0.00	0.00	0.00	0.00	ok	333	300	300	0.00	GapSeed	6	0	0	0	Gap	50	31	31	960	1600	0	3	0	0	0	5.33	0.03	0.30	0.00	25	21	11614
dijkstra	333	300	0.2			0.7969	0:00:00	7.78	18.72	2.56	2.91	0.20	0.00	0.00	0.48	ok	333	300	300	0.00	Zero	0	0	0	0		0	0	0	17126	17686	4997	0	0	0	0	58.93	0.00	2.35	0.00	47	0	0
dijkstra_nogreedy	333	300	0.2			1.0457	0:00:01	7.51	19.26	2.62	2.95	0.00	0.00	47.80	0.98	ok	333	300	300	0.00	Zero	0	0	0	0		0	0	0	15209	16247	0	0	0	0	0	54.14	0.00	3.09	0.00	47	0	0
pa_noprune	333	300	0.2			0.1608	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	300	0.00	GapSeed	7	1	0	0	Gap	42	107	107	1396	1692	796	5	0	0	0	5.64	0.15	0.28	0.00	47	42	11166
pa_noprune_nogreedy	333	300	0.2			0.2157	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	333	300	300	0.00	GapSeed	7	1	0	0	Gap	42	107	107	1363	2073	0	16	0	0	0	6.91	0.15	0.45	0.00	47	42	22817
dijkstra	100	1000	0.01			0.0264	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	999	0.00	Zero	0	0	0	0		0	0	0	4588	4708	4240	0	0	0	0	4.71	0.00	0.11	0.00	9	0	0
dijkstra_nogreedy	100	1000	0.01			0.1649	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	999	0.00	Zero	0	0	0	0		0	0	0	8974	11000	0	0	0	0	0	11.00	0.00	1.50	0.00	9	0	0
